COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root   12u  unix 0xffff8d758468ec00      0t0  36029 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   21u  unix 0xffff8d76894b9c00      0t0  10940 /run/systemd/private type=STREAM (LISTEN)
systemd        1                 root   22u  unix 0xffff8d76894b9000      0t0  10942 /run/systemd/userdb/io.systemd.DynamicUser type=STREAM (LISTEN)
systemd        1                 root   23u  unix 0xffff8d76894ba000      0t0  10943 /run/systemd/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root   37u  unix 0xffff8d75e0032c00      0t0  33854 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   54u  unix 0xffff8d758468c000      0t0  36031 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   59u  unix 0xffff8d7584700400      0t0  42186 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   67u  unix 0xffff8d768cba0400      0t0  16275 /run/systemd/io.systemd.ManagedOOM type=STREAM (CONNECTED)
systemd        1                 root   69u  unix 0xffff8d7584700000      0t0  42187 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   70u  unix 0xffff8d7686848800      0t0  42250 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   82u  unix 0xffff8d768c29c400      0t0  11394 type=DGRAM (CONNECTED)
systemd        1                 root   92u  unix 0xffff8d75813e4000      0t0 297758 type=DGRAM (CONNECTED)
systemd        1                 root   93u  unix 0xffff8d75813e5000      0t0 297759 type=DGRAM (CONNECTED)
systemd        1                 root   95u  unix 0xffff8d75813dc800      0t0  34065 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root   97u  unix 0xffff8d76a5df5400      0t0 298300 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  148u  unix 0xffff8d768cb43400      0t0  19119 @579a12bbbd2d6833/bus/systemd/bus-api-system type=STREAM (CONNECTED)
systemd        1                 root  198u  unix 0xffff8d76894b9800      0t0  10937 /run/systemd/notify type=DGRAM (CONNECTED)
systemd        1                 root  199u  unix 0xffff8d76894bac00      0t0  10938 type=DGRAM (CONNECTED)
systemd        1                 root  200u  unix 0xffff8d76894b8800      0t0  10939 type=DGRAM (CONNECTED)
systemd        1                 root  203u  unix 0xffff8d76894b8c00      0t0  18382 type=DGRAM (CONNECTED)
systemd        1                 root  205u  unix 0xffff8d768c943000      0t0  18383 type=DGRAM (CONNECTED)
systemd        1                 root  206u  unix 0xffff8d768684b000      0t0  23299 type=DGRAM (CONNECTED)
systemd        1                 root  207u  unix 0xffff8d768684b400      0t0  23300 type=DGRAM (CONNECTED)
systemd        1                 root  212u  unix 0xffff8d76894bb000      0t0  10962 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd        1                 root  272u  unix 0xffff8d76894bbc00      0t0  10964 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd        1                 root  309u  unix 0xffff8d76ac6c7000      0t0  31905 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  310u  unix 0xffff8d75813e4c00      0t0  31824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  311u  unix 0xffff8d769625b800      0t0  31805 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  312u  unix 0xffff8d75813e4800      0t0  31782 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  313u  unix 0xffff8d75d21fb000      0t0  30610 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  314u  unix 0xffff8d75c2b17800      0t0  30609 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  315u  unix 0xffff8d75bc386c00      0t0  30576 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  317u  unix 0xffff8d75d7a7d400      0t0  30982 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  321u  unix 0xffff8d75e0018c00      0t0  30950 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  322u  unix 0xffff8d75e0019000      0t0  30848 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  323u  unix 0xffff8d75c2881c00      0t0  30832 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  324u  unix 0xffff8d75d7a6f000      0t0  30830 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  325u  unix 0xffff8d75c2892000      0t0  30805 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  326u  unix 0xffff8d75c2892c00      0t0  30789 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  327u  unix 0xffff8d75d7a6b000      0t0  30765 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  328u  unix 0xffff8d75d7a6a000      0t0  30764 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  329u  unix 0xffff8d75d7a6ac00      0t0  30246 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  330u  unix 0xffff8d75d7a6a800      0t0  30229 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  331u  unix 0xffff8d75d7a68400      0t0  30227 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  333u  unix 0xffff8d75d21fbc00      0t0  30011 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  334u  unix 0xffff8d75d21f8800      0t0  29979 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  335u  unix 0xffff8d75d21f9800      0t0  29978 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  336u  unix 0xffff8d75d21e7c00      0t0  29924 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  337u  unix 0xffff8d7599949800      0t0  29920 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  338u  unix 0xffff8d75d21e3c00      0t0  29913 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  339u  unix 0xffff8d75d21e1000      0t0  29904 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  340u  unix 0xffff8d75c2880c00      0t0  29903 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  341u  unix 0xffff8d75d21e3400      0t0  29875 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  342u  unix 0xffff8d75c2881400      0t0  29865 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  343u  unix 0xffff8d75d21e1800      0t0  29859 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  344u  unix 0xffff8d75d21e0c00      0t0  29857 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  345u  unix 0xffff8d75c2883c00      0t0  29854 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  346u  unix 0xffff8d75d21e2800      0t0  29821 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  347u  unix 0xffff8d75bc386800      0t0  29814 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  348u  unix 0xffff8d75d21d1400      0t0  29749 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  350u  unix 0xffff8d75d21d2400      0t0  29745 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  351u  unix 0xffff8d75c2880800      0t0  29741 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  352u  unix 0xffff8d75d21d0000      0t0  29706 /run/systemd/journal/stdout type=STREAM (CONNECTED)
