Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
nl    UNCONN 0      0                                                        rtnl:NetworkManager/1210                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:avahi-daemon/1047                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:evolution-calen/3432                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:firefox/4347                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:evolution-addre/3514                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:xdg-desktop-por/3760                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:systemd-resolve/669                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:goa-daemon/3296                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:firefox/4347                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:xdg-desktop-por/3760                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:evolution-addre/3514                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:evolution-calen/3432                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:goa-daemon/3296                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:NetworkManager/1210                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:avahi-daemon/1047                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                        rtnl:systemd-resolve/669                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 896    0                                                     tcpdiag:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 4352   0                                                     tcpdiag:ss/129512                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                     selinux:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                       audit:sudo/5908                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                       audit:dbus-daemon/1051                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                       audit:systemd/1                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                       audit:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                   fiblookup:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                   connector:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                         nft:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                         nft:systemd/1                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:gvfs-mtp-volume/3513                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-196621758                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:systemd/1                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:colord/1996                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-542178166                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:systemd-udevd/427                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-317943853                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:bluetoothd/1697                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-1829782522                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:wireplumber/2777                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:systemd-logind/1163                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:gsd-media-keys/3128                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:ModemManager/1298                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:systemd/2754                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:switcheroo-cont/1156                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:snapd/1122                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:power-profiles-/1092                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:gnome-shell/2993                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-1160694727                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:upowerd/2039                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-521263735                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-981583086                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:gdm3/1591                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:gvfs-gphoto2-vo/3480                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-467238367                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-1902373065                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-53392932                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:udisksd/1166                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-1144372811                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
nl    UNCONN 0      0                                                      uevent:-640557848                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
