Name                       Version          Rev    Tracking         Publisher    Notes
bare                       1.0              5      latest/stable    canonical**  base
core20                     20240911         2434   latest/stable    canonical**  base
core22                     20250110         1748   latest/stable    canonical**  base
curl                       8.1.2            1754   latest/stable    aoilinux     -
firefox                    135.0-2          5701   latest/stable/…  mozilla**    -
firmware-updater           0+git.22198be    167    1/stable/…       canonical**  -
gnome-42-2204              0+git.510a601    176    latest/stable/…  canonical**  -
gtk-common-themes          0.1-81-g442e511  1535   latest/stable/…  canonical**  -
snap-store                 0+git.7a3a49a6   1248   2/stable/…       canonical**  -
snapd                      2.67             23545  latest/stable    canonical**  snapd
snapd-desktop-integration  0.9              253    latest/stable/…  canonical**  -
