/dev/sda2 / ext4 ro,nosuid,relatime 0 0
tmpfs /run tmpfs rw,nosuid,nodev,noexec,relatime,size=396104k,mode=755,inode64 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k,inode64 0 0
vmware-vmblock /run/vmblock-fuse fuse.vmware-vmblock rw,nosuid,relatime,user_id=0,group_id=0,default_permissions,allow_other 0 0
sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
cgroup2 /sys/fs/cgroup cgroup2 ro,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime,mode=700 0 0
debugfs /sys/kernel/debug debugfs rw,nosuid,nodev,noexec,relatime 0 0
tracefs /sys/kernel/tracing tracefs rw,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
/dev/loop0 /snap/bare/5 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop1 /snap/core20/2434 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop4 /snap/firmware-updater/127 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop2 /snap/curl/1754 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop3 /snap/core22/1564 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop5 /snap/gtk-common-themes/1535 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop6 /snap/firefox/4793 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop7 /snap/gnome-42-2204/176 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop8 /snap/firmware-updater/167 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop11 /snap/snapd/21759 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop9 /snap/snap-store/1173 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop12 /snap/snapd-desktop-integration/253 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop10 /snap/snapd/23545 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
/dev/loop13 /snap/snapd-desktop-integration/178 squashfs ro,nosuid,nodev,relatime,errors=continue,threads=single 0 0
tmpfs /dev tmpfs ro,nosuid,noexec,size=4096k,nr_inodes=65536,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev,inode64 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,nosuid,nodev,relatime,pagesize=2M 0 0
tmpfs /home tmpfs ro,nosuid,nodev,noexec,relatime,size=396104k,mode=755,inode64 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime,hidepid=invisible 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /proc/kmsg tmpfs ro,nosuid,nodev,noexec,relatime,size=396104k,mode=755,inode64 0 0
proc /proc/sys/kernel/domainname proc ro,nosuid,nodev,noexec,relatime,hidepid=invisible 0 0
proc /proc/sys/kernel/hostname proc ro,nosuid,nodev,noexec,relatime,hidepid=invisible 0 0
tmpfs /root tmpfs ro,nosuid,nodev,noexec,relatime,size=396104k,mode=755,inode64 0 0
tmpfs /run/credentials tmpfs ro,nosuid,nodev,noexec,relatime,size=396104k,mode=755,inode64 0 0
