    PID USER     CGROUP
      1 root     0::/init.scope
      2 root     -
      3 root     -
      4 root     -
      5 root     -
      6 root     -
      7 root     -
      8 root     -
     10 root     -
     11 root     -
     12 root     -
     13 root     -
     14 root     -
     15 root     -
     16 root     -
     17 root     -
     18 root     -
     19 root     -
     20 root     -
     21 root     -
     22 root     -
     23 root     -
     24 root     -
     25 root     -
     28 root     -
     29 root     -
     30 root     -
     31 root     -
     32 root     -
     33 root     -
     34 root     -
     35 root     -
     36 root     -
     37 root     -
     38 root     -
     39 root     -
     41 root     -
     42 root     -
     43 root     -
     44 root     -
     45 root     -
     46 root     -
     47 root     -
     48 root     -
     49 root     -
     50 root     -
     51 root     -
     52 root     -
     53 root     -
     54 root     -
     55 root     -
     56 root     -
     57 root     -
     58 root     -
     59 root     -
     60 root     -
     61 root     -
     62 root     -
     63 root     -
     64 root     -
     65 root     -
     66 root     -
     67 root     -
     68 root     -
     69 root     -
     70 root     -
     71 root     -
     72 root     -
     73 root     -
     74 root     -
     75 root     -
     76 root     -
     77 root     -
     78 root     -
     79 root     -
     80 root     -
     81 root     -
     82 root     -
     83 root     -
     84 root     -
     85 root     -
     86 root     -
     87 root     -
     88 root     -
     89 root     -
     90 root     -
     92 root     -
     93 root     -
     94 root     -
     95 root     -
     99 root     -
    100 root     -
    102 root     -
    108 root     -
    110 root     -
    111 root     -
    112 root     -
    125 root     -
    151 root     -
    174 root     -
    175 root     -
    186 root     -
    187 root     -
    188 root     -
    189 root     -
    190 root     -
    191 root     -
    192 root     -
    193 root     -
    194 root     -
    195 root     -
    196 root     -
    197 root     -
    198 root     -
    199 root     -
    200 root     -
    201 root     -
    202 root     -
    203 root     -
    204 root     -
    205 root     -
    206 root     -
    207 root     -
    208 root     -
    209 root     -
    210 root     -
    211 root     -
    212 root     -
    213 root     -
    214 root     -
    215 root     -
    216 root     -
    217 root     -
    218 root     -
    219 root     -
    220 root     -
    221 root     -
    222 root     -
    223 root     -
    224 root     -
    225 root     -
    226 root     -
    227 root     -
    228 root     -
    229 root     -
    230 root     -
    231 root     -
    232 root     -
    233 root     -
    234 root     -
    235 root     -
    236 root     -
    237 root     -
    238 root     -
    239 root     -
    240 root     -
    241 root     -
    242 root     -
    243 root     -
