    PID USER         ELAPSED COMMAND
      1 root           06:41 /sbin/init splash
      2 root           06:41 [kthreadd]
      3 root           06:41 [pool_workqueue_release]
      4 root           06:41 [kworker/R-rcu_g]
      5 root           06:41 [kworker/R-rcu_p]
      6 root           06:41 [kworker/R-slub_]
      7 root           06:41 [kworker/R-netns]
      8 root           06:41 [kworker/0:0-events]
     10 root           06:41 [kworker/0:0H-kblockd]
     11 root           06:41 [kworker/u256:0-ext4-rsv-conversion]
     12 root           06:41 [kworker/R-mm_pe]
     13 root           06:41 [rcu_tasks_kthread]
     14 root           06:41 [rcu_tasks_rude_kthread]
     15 root           06:41 [rcu_tasks_trace_kthread]
     16 root           06:41 [ksoftirqd/0]
     17 root           06:41 [rcu_preempt]
     18 root           06:41 [migration/0]
     19 root           06:41 [idle_inject/0]
     20 root           06:41 [cpuhp/0]
     21 root           06:41 [cpuhp/1]
     22 root           06:41 [idle_inject/1]
     23 root           06:41 [migration/1]
     24 root           06:41 [ksoftirqd/1]
     25 root           06:41 [kworker/1:0-inet_frag_wq]
     28 root           06:41 [kworker/u258:0-flush-8:0]
     29 root           06:41 [kdevtmpfs]
     30 root           06:41 [kworker/R-inet_]
     31 root           06:41 [kworker/u257:1-events_power_efficient]
     32 root           06:41 [kauditd]
     33 root           06:41 [kworker/0:2-events]
     34 root           06:41 [khungtaskd]
     35 root           06:41 [oom_reaper]
     36 root           06:41 [kworker/u258:1-flush-8:0]
     37 root           06:41 [kworker/R-write]
     38 root           06:41 [kcompactd0]
     39 root           06:41 [ksmd]
     41 root           06:41 [kworker/1:2-events]
     42 root           06:41 [khugepaged]
     43 root           06:41 [kworker/R-kinte]
     44 root           06:41 [kworker/R-kbloc]
     45 root           06:41 [kworker/R-blkcg]
     46 root           06:40 [irq/9-acpi]
     47 root           06:37 [kworker/R-tpm_d]
     48 root           06:37 [kworker/R-ata_s]
     49 root           06:37 [kworker/R-md]
     50 root           06:37 [kworker/R-md_bi]
     51 root           06:37 [kworker/R-edac-]
     52 root           06:37 [kworker/R-devfr]
     53 root           06:36 [watchdogd]
     54 root           06:35 [kworker/1:1H-kblockd]
     55 root           06:34 [kswapd0]
     56 root           06:34 [ecryptfs-kthread]
     57 root           06:34 [kworker/R-kthro]
     58 root           06:34 [irq/24-pciehp]
     59 root           06:34 [irq/25-pciehp]
     60 root           06:34 [irq/26-pciehp]
     61 root           06:34 [irq/27-pciehp]
     62 root           06:34 [irq/28-pciehp]
     63 root           06:33 [irq/29-pciehp]
     64 root           06:33 [irq/30-pciehp]
     65 root           06:33 [irq/31-pciehp]
     66 root           06:33 [irq/32-pciehp]
     67 root           06:33 [irq/33-pciehp]
     68 root           06:33 [irq/34-pciehp]
     69 root           06:33 [irq/35-pciehp]
     70 root           06:33 [irq/36-pciehp]
     71 root           06:33 [irq/37-pciehp]
     72 root           06:33 [irq/38-pciehp]
     73 root           06:33 [irq/39-pciehp]
     74 root           06:33 [irq/40-pciehp]
     75 root           06:33 [irq/41-pciehp]
     76 root           06:33 [irq/42-pciehp]
     77 root           06:33 [irq/43-pciehp]
     78 root           06:33 [irq/44-pciehp]
     79 root           06:33 [irq/45-pciehp]
     80 root           06:33 [irq/46-pciehp]
     81 root           06:33 [irq/47-pciehp]
     82 root           06:33 [irq/48-pciehp]
     83 root           06:33 [irq/49-pciehp]
     84 root           06:33 [irq/50-pciehp]
     85 root           06:33 [irq/51-pciehp]
     86 root           06:33 [irq/52-pciehp]
     87 root           06:33 [irq/53-pciehp]
     88 root           06:33 [irq/54-pciehp]
     89 root           06:33 [irq/55-pciehp]
     90 root           06:33 [kworker/R-acpi_]
     92 root           06:32 [scsi_eh_0]
     93 root           06:32 [kworker/R-scsi_]
     94 root           06:32 [scsi_eh_1]
     95 root           06:32 [kworker/R-scsi_]
     99 root           06:31 [kworker/R-mld]
    100 root           06:31 [kworker/R-ipv6_]
    102 root           06:30 [kworker/u258:2-events_freezable_power_]
    108 root           06:28 [kworker/R-kstrp]
    110 root           06:28 [kworker/u259:0-hci0]
    111 root           06:28 [kworker/u260:0-ttm]
    112 root           06:28 [kworker/u261:0-ttm]
    125 root           06:27 [kworker/R-charg]
    151 root           06:23 [kworker/0:1H]
    174 root           06:21 [kworker/R-mpt_p]
    175 root           06:21 [kworker/R-mpt/0]
    186 root           06:21 [scsi_eh_2]
    187 root           06:21 [scsi_eh_3]
    188 root           06:21 [kworker/R-scsi_]
    189 root           06:21 [kworker/R-scsi_]
    190 root           06:21 [scsi_eh_4]
    191 root           06:21 [kworker/R-scsi_]
    192 root           06:21 [scsi_eh_5]
    193 root           06:21 [kworker/R-scsi_]
    194 root           06:21 [scsi_eh_6]
    195 root           06:21 [kworker/R-scsi_]
    196 root           06:21 [scsi_eh_7]
    197 root           06:21 [kworker/R-scsi_]
    198 root           06:21 [scsi_eh_8]
    199 root           06:21 [kworker/R-scsi_]
    200 root           06:21 [scsi_eh_9]
    201 root           06:21 [kworker/R-scsi_]
    202 root           06:21 [scsi_eh_10]
    203 root           06:21 [kworker/R-scsi_]
    204 root           06:21 [scsi_eh_11]
    205 root           06:21 [kworker/R-scsi_]
    206 root           06:21 [scsi_eh_12]
    207 root           06:21 [kworker/R-scsi_]
    208 root           06:20 [scsi_eh_13]
    209 root           06:20 [kworker/R-scsi_]
    210 root           06:20 [scsi_eh_14]
    211 root           06:20 [kworker/R-scsi_]
    212 root           06:20 [scsi_eh_15]
    213 root           06:20 [kworker/R-scsi_]
    214 root           06:20 [scsi_eh_16]
    215 root           06:20 [kworker/R-scsi_]
    216 root           06:20 [scsi_eh_17]
    217 root           06:20 [kworker/R-scsi_]
    218 root           06:20 [scsi_eh_18]
    219 root           06:20 [kworker/R-scsi_]
    220 root           06:20 [scsi_eh_19]
    221 root           06:20 [kworker/R-scsi_]
    222 root           06:20 [scsi_eh_20]
    223 root           06:20 [kworker/R-scsi_]
    224 root           06:20 [scsi_eh_21]
    225 root           06:20 [kworker/R-scsi_]
    226 root           06:20 [scsi_eh_22]
    227 root           06:20 [kworker/R-scsi_]
    228 root           06:20 [scsi_eh_23]
    229 root           06:20 [kworker/R-scsi_]
    230 root           06:20 [scsi_eh_24]
    231 root           06:20 [kworker/R-scsi_]
    232 root           06:20 [scsi_eh_25]
    233 root           06:20 [kworker/R-scsi_]
    234 root           06:20 [scsi_eh_26]
    235 root           06:20 [kworker/R-scsi_]
    236 root           06:20 [scsi_eh_27]
    237 root           06:20 [kworker/R-scsi_]
    238 root           06:20 [scsi_eh_28]
    239 root           06:20 [kworker/R-scsi_]
    240 root           06:20 [scsi_eh_29]
    241 root           06:20 [kworker/R-scsi_]
    242 root           06:20 [scsi_eh_30]
    243 root           06:20 [kworker/R-scsi_]
    244 root           06:20 [scsi_eh_31]
    245 root           06:20 [kworker/R-scsi_]
    246 root           06:20 [scsi_eh_32]
    247 root           06:20 [kworker/R-scsi_]
    268 root           06:20 [kworker/u257:26-events_power_efficient]
    269 root           06:20 [kworker/u257:27-writeback]
    270 root           06:20 [kworker/u257:28-flush-8:0]
    271 root           06:20 [kworker/u257:29-writeback]
    273 root           06:20 [kworker/u257:31-events_power_efficient]
    314 root           05:41 [kworker/1:2H]
    317 root           05:40 [jbd2/sda2-8]
    318 root           05:40 [kworker/R-ext4-]
    368 root           05:38 /usr/lib/systemd/systemd-journald
    390 root           05:38 [kworker/0:3-rcu_par_gp]
    400 root           05:38 [irq/16-vmwgfx]
    401 root           05:38 [kworker/R-ttm]
    407 root           05:37 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
    427 root           05:37 /usr/lib/systemd/systemd-udevd
    428 root           05:36 [kworker/u258:3-events_power_efficient]
    471 root           05:36 [psimon]
    498 root           05:36 [kworker/u256:1-ext4-rsv-conversion]
    653 systemd+       05:34 /usr/lib/systemd/systemd-oomd
    669 systemd+       05:34 /usr/lib/systemd/systemd-resolved
    674 systemd+       05:34 /usr/lib/systemd/systemd-timesyncd
    722 root           05:33 [kworker/u258:6-events_unbound]
    745 root           05:33 /usr/bin/VGAuthService
    757 root           05:32 /usr/bin/vmtoolsd
    771 root           05:32 [irq/57-vmw_vmci]
    772 root           05:32 [irq/58-vmw_vmci]
    773 root           05:32 [irq/59-vmw_vmci]
   1047 avahi          05:29 avahi-daemon: running [LuckyShot.local]
   1051 message+       05:29 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1069 gnome-r+       05:29 /usr/libexec/gnome-remote-desktop-daemon --system
   1082 polkitd        05:29 /usr/lib/polkit-1/polkitd --no-debug
   1092 root           05:29 /usr/libexec/power-profiles-daemon
   1122 root           05:28 /usr/lib/snapd/snapd
   1132 root           05:28 /usr/libexec/accounts-daemon
   1139 root           05:28 /usr/sbin/cron -f -P
   1156 root           05:28 /usr/libexec/switcheroo-control
   1163 root           05:27 /usr/lib/systemd/systemd-logind
   1166 root           05:27 /usr/libexec/udisks2/udisksd
   1208 avahi          05:26 avahi-daemon: chroot helper
   1210 root           05:26 /usr/sbin/NetworkManager --no-daemon
   1216 root           05:26 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1219 syslog         05:25 /usr/sbin/rsyslogd -n -iNONE
   1298 root           05:23 /usr/sbin/ModemManager
   1522 root           05:15 /usr/sbin/cupsd -l
   1535 root           05:15 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
