    PID USER                      STARTED COMMAND
      1 root     Tue Feb 11 09:31:36 2025 /sbin/init splash
      2 root     Tue Feb 11 09:31:36 2025 [kthreadd]
      3 root     Tue Feb 11 09:31:36 2025 [pool_workqueue_release]
      4 root     Tue Feb 11 09:31:36 2025 [kworker/R-rcu_g]
      5 root     Tue Feb 11 09:31:36 2025 [kworker/R-rcu_p]
      6 root     Tue Feb 11 09:31:36 2025 [kworker/R-slub_]
      7 root     Tue Feb 11 09:31:36 2025 [kworker/R-netns]
      8 root     Tue Feb 11 09:31:36 2025 [kworker/0:0-events]
     10 root     Tue Feb 11 09:31:36 2025 [kworker/0:0H-kblockd]
     11 root     Tue Feb 11 09:31:36 2025 [kworker/u256:0-ext4-rsv-conversion]
     12 root     Tue Feb 11 09:31:36 2025 [kworker/R-mm_pe]
     13 root     Tue Feb 11 09:31:36 2025 [rcu_tasks_kthread]
     14 root     Tue Feb 11 09:31:36 2025 [rcu_tasks_rude_kthread]
     15 root     Tue Feb 11 09:31:36 2025 [rcu_tasks_trace_kthread]
     16 root     Tue Feb 11 09:31:36 2025 [ksoftirqd/0]
     17 root     Tue Feb 11 09:31:36 2025 [rcu_preempt]
     18 root     Tue Feb 11 09:31:36 2025 [migration/0]
     19 root     Tue Feb 11 09:31:36 2025 [idle_inject/0]
     20 root     Tue Feb 11 09:31:36 2025 [cpuhp/0]
     21 root     Tue Feb 11 09:31:36 2025 [cpuhp/1]
     22 root     Tue Feb 11 09:31:36 2025 [idle_inject/1]
     23 root     Tue Feb 11 09:31:36 2025 [migration/1]
     24 root     Tue Feb 11 09:31:36 2025 [ksoftirqd/1]
     25 root     Tue Feb 11 09:31:36 2025 [kworker/1:0-inet_frag_wq]
     28 root     Tue Feb 11 09:31:36 2025 [kworker/u258:0-flush-8:0]
     29 root     Tue Feb 11 09:31:36 2025 [kdevtmpfs]
     30 root     Tue Feb 11 09:31:36 2025 [kworker/R-inet_]
     31 root     Tue Feb 11 09:31:36 2025 [kworker/u257:1-events_power_efficient]
     32 root     Tue Feb 11 09:31:36 2025 [kauditd]
     33 root     Tue Feb 11 09:31:36 2025 [kworker/0:2-events]
     34 root     Tue Feb 11 09:31:36 2025 [khungtaskd]
     35 root     Tue Feb 11 09:31:36 2025 [oom_reaper]
     36 root     Tue Feb 11 09:31:36 2025 [kworker/u258:1-flush-8:0]
     37 root     Tue Feb 11 09:31:36 2025 [kworker/R-write]
     38 root     Tue Feb 11 09:31:36 2025 [kcompactd0]
     39 root     Tue Feb 11 09:31:36 2025 [ksmd]
     41 root     Tue Feb 11 09:31:36 2025 [kworker/1:2-events]
     42 root     Tue Feb 11 09:31:36 2025 [khugepaged]
     43 root     Tue Feb 11 09:31:36 2025 [kworker/R-kinte]
     44 root     Tue Feb 11 09:31:36 2025 [kworker/R-kbloc]
     45 root     Tue Feb 11 09:31:36 2025 [kworker/R-blkcg]
     46 root     Tue Feb 11 09:31:36 2025 [irq/9-acpi]
     47 root     Tue Feb 11 09:31:40 2025 [kworker/R-tpm_d]
     48 root     Tue Feb 11 09:31:40 2025 [kworker/R-ata_s]
     49 root     Tue Feb 11 09:31:40 2025 [kworker/R-md]
     50 root     Tue Feb 11 09:31:40 2025 [kworker/R-md_bi]
     51 root     Tue Feb 11 09:31:40 2025 [kworker/R-edac-]
     52 root     Tue Feb 11 09:31:40 2025 [kworker/R-devfr]
     53 root     Tue Feb 11 09:31:41 2025 [watchdogd]
     54 root     Tue Feb 11 09:31:42 2025 [kworker/1:1H-kblockd]
     55 root     Tue Feb 11 09:31:43 2025 [kswapd0]
     56 root     Tue Feb 11 09:31:43 2025 [ecryptfs-kthread]
     57 root     Tue Feb 11 09:31:43 2025 [kworker/R-kthro]
     58 root     Tue Feb 11 09:31:43 2025 [irq/24-pciehp]
     59 root     Tue Feb 11 09:31:43 2025 [irq/25-pciehp]
     60 root     Tue Feb 11 09:31:43 2025 [irq/26-pciehp]
     61 root     Tue Feb 11 09:31:43 2025 [irq/27-pciehp]
     62 root     Tue Feb 11 09:31:43 2025 [irq/28-pciehp]
     63 root     Tue Feb 11 09:31:43 2025 [irq/29-pciehp]
     64 root     Tue Feb 11 09:31:43 2025 [irq/30-pciehp]
     65 root     Tue Feb 11 09:31:43 2025 [irq/31-pciehp]
     66 root     Tue Feb 11 09:31:43 2025 [irq/32-pciehp]
     67 root     Tue Feb 11 09:31:43 2025 [irq/33-pciehp]
     68 root     Tue Feb 11 09:31:43 2025 [irq/34-pciehp]
     69 root     Tue Feb 11 09:31:43 2025 [irq/35-pciehp]
     70 root     Tue Feb 11 09:31:44 2025 [irq/36-pciehp]
     71 root     Tue Feb 11 09:31:44 2025 [irq/37-pciehp]
     72 root     Tue Feb 11 09:31:44 2025 [irq/38-pciehp]
     73 root     Tue Feb 11 09:31:44 2025 [irq/39-pciehp]
     74 root     Tue Feb 11 09:31:44 2025 [irq/40-pciehp]
     75 root     Tue Feb 11 09:31:44 2025 [irq/41-pciehp]
     76 root     Tue Feb 11 09:31:44 2025 [irq/42-pciehp]
     77 root     Tue Feb 11 09:31:44 2025 [irq/43-pciehp]
     78 root     Tue Feb 11 09:31:44 2025 [irq/44-pciehp]
     79 root     Tue Feb 11 09:31:44 2025 [irq/45-pciehp]
     80 root     Tue Feb 11 09:31:44 2025 [irq/46-pciehp]
     81 root     Tue Feb 11 09:31:44 2025 [irq/47-pciehp]
     82 root     Tue Feb 11 09:31:44 2025 [irq/48-pciehp]
     83 root     Tue Feb 11 09:31:44 2025 [irq/49-pciehp]
     84 root     Tue Feb 11 09:31:44 2025 [irq/50-pciehp]
     85 root     Tue Feb 11 09:31:44 2025 [irq/51-pciehp]
     86 root     Tue Feb 11 09:31:44 2025 [irq/52-pciehp]
     87 root     Tue Feb 11 09:31:44 2025 [irq/53-pciehp]
     88 root     Tue Feb 11 09:31:44 2025 [irq/54-pciehp]
     89 root     Tue Feb 11 09:31:44 2025 [irq/55-pciehp]
     90 root     Tue Feb 11 09:31:44 2025 [kworker/R-acpi_]
     92 root     Tue Feb 11 09:31:44 2025 [scsi_eh_0]
     93 root     Tue Feb 11 09:31:44 2025 [kworker/R-scsi_]
     94 root     Tue Feb 11 09:31:44 2025 [scsi_eh_1]
     95 root     Tue Feb 11 09:31:44 2025 [kworker/R-scsi_]
     99 root     Tue Feb 11 09:31:46 2025 [kworker/R-mld]
    100 root     Tue Feb 11 09:31:46 2025 [kworker/R-ipv6_]
    102 root     Tue Feb 11 09:31:47 2025 [kworker/u258:2-events_freezable_power_]
    108 root     Tue Feb 11 09:31:49 2025 [kworker/R-kstrp]
    110 root     Tue Feb 11 09:31:49 2025 [kworker/u259:0-hci0]
    111 root     Tue Feb 11 09:31:49 2025 [kworker/u260:0-ttm]
    112 root     Tue Feb 11 09:31:49 2025 [kworker/u261:0-ttm]
    125 root     Tue Feb 11 09:31:50 2025 [kworker/R-charg]
    151 root     Tue Feb 11 09:31:54 2025 [kworker/0:1H]
    174 root     Tue Feb 11 09:31:56 2025 [kworker/R-mpt_p]
