UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  4 09:31 ?        00:00:18 /sbin/init splash
root           2       0  0 09:31 ?        00:00:00 [kthreadd]
root           3       2  0 09:31 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 09:31 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 09:31 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 09:31 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 09:31 ?        00:00:00 [kworker/R-netns]
root           8       2  0 09:31 ?        00:00:00 [kworker/0:0-events]
root          10       2  0 09:31 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0 09:31 ?        00:00:00 [kworker/u256:0-ext4-rsv-conversion]
root          12       2  0 09:31 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 09:31 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 09:31 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 09:31 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 09:31 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 09:31 ?        00:00:02 [rcu_preempt]
root          18       2  0 09:31 ?        00:00:00 [migration/0]
root          19       2  0 09:31 ?        00:00:00 [idle_inject/0]
root          20       2  0 09:31 ?        00:00:00 [cpuhp/0]
root          21       2  0 09:31 ?        00:00:00 [cpuhp/1]
root          22       2  0 09:31 ?        00:00:00 [idle_inject/1]
root          23       2  0 09:31 ?        00:00:00 [migration/1]
root          24       2  0 09:31 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 09:31 ?        00:00:00 [kworker/1:0-inet_frag_wq]
root          28       2  0 09:31 ?        00:00:01 [kworker/u258:0-flush-8:0]
root          29       2  0 09:31 ?        00:00:00 [kdevtmpfs]
root          30       2  0 09:31 ?        00:00:00 [kworker/R-inet_]
root          31       2  1 09:31 ?        00:00:05 [kworker/u257:1-events_power_efficient]
root          32       2  0 09:31 ?        00:00:00 [kauditd]
root          33       2  0 09:31 ?        00:00:01 [kworker/0:2-events]
root          34       2  0 09:31 ?        00:00:00 [khungtaskd]
root          35       2  0 09:31 ?        00:00:00 [oom_reaper]
root          36       2  0 09:31 ?        00:00:00 [kworker/u258:1-flush-8:0]
root          37       2  0 09:31 ?        00:00:00 [kworker/R-write]
root          38       2  0 09:31 ?        00:00:00 [kcompactd0]
root          39       2  0 09:31 ?        00:00:00 [ksmd]
root          41       2  0 09:31 ?        00:00:00 [kworker/1:2-events]
root          42       2  0 09:31 ?        00:00:00 [khugepaged]
root          43       2  0 09:31 ?        00:00:00 [kworker/R-kinte]
root          44       2  0 09:31 ?        00:00:00 [kworker/R-kbloc]
root          45       2  0 09:31 ?        00:00:00 [kworker/R-blkcg]
root          46       2  0 09:31 ?        00:00:00 [irq/9-acpi]
root          47       2  0 09:31 ?        00:00:00 [kworker/R-tpm_d]
root          48       2  0 09:31 ?        00:00:00 [kworker/R-ata_s]
root          49       2  0 09:31 ?        00:00:00 [kworker/R-md]
root          50       2  0 09:31 ?        00:00:00 [kworker/R-md_bi]
root          51       2  0 09:31 ?        00:00:00 [kworker/R-edac-]
root          52       2  0 09:31 ?        00:00:00 [kworker/R-devfr]
root          53       2  0 09:31 ?        00:00:00 [watchdogd]
root          54       2  0 09:31 ?        00:00:00 [kworker/1:1H-kblockd]
root          55       2  0 09:31 ?        00:00:00 [kswapd0]
root          56       2  0 09:31 ?        00:00:00 [ecryptfs-kthread]
root          57       2  0 09:31 ?        00:00:00 [kworker/R-kthro]
root          58       2  0 09:31 ?        00:00:00 [irq/24-pciehp]
root          59       2  0 09:31 ?        00:00:00 [irq/25-pciehp]
root          60       2  0 09:31 ?        00:00:00 [irq/26-pciehp]
root          61       2  0 09:31 ?        00:00:00 [irq/27-pciehp]
root          62       2  0 09:31 ?        00:00:00 [irq/28-pciehp]
root          63       2  0 09:31 ?        00:00:00 [irq/29-pciehp]
root          64       2  0 09:31 ?        00:00:00 [irq/30-pciehp]
root          65       2  0 09:31 ?        00:00:00 [irq/31-pciehp]
root          66       2  0 09:31 ?        00:00:00 [irq/32-pciehp]
root          67       2  0 09:31 ?        00:00:00 [irq/33-pciehp]
root          68       2  0 09:31 ?        00:00:00 [irq/34-pciehp]
root          69       2  0 09:31 ?        00:00:00 [irq/35-pciehp]
root          70       2  0 09:31 ?        00:00:00 [irq/36-pciehp]
root          71       2  0 09:31 ?        00:00:00 [irq/37-pciehp]
root          72       2  0 09:31 ?        00:00:00 [irq/38-pciehp]
root          73       2  0 09:31 ?        00:00:00 [irq/39-pciehp]
root          74       2  0 09:31 ?        00:00:00 [irq/40-pciehp]
root          75       2  0 09:31 ?        00:00:00 [irq/41-pciehp]
root          76       2  0 09:31 ?        00:00:00 [irq/42-pciehp]
root          77       2  0 09:31 ?        00:00:00 [irq/43-pciehp]
root          78       2  0 09:31 ?        00:00:00 [irq/44-pciehp]
root          79       2  0 09:31 ?        00:00:00 [irq/45-pciehp]
root          80       2  0 09:31 ?        00:00:00 [irq/46-pciehp]
root          81       2  0 09:31 ?        00:00:00 [irq/47-pciehp]
root          82       2  0 09:31 ?        00:00:00 [irq/48-pciehp]
root          83       2  0 09:31 ?        00:00:00 [irq/49-pciehp]
root          84       2  0 09:31 ?        00:00:00 [irq/50-pciehp]
root          85       2  0 09:31 ?        00:00:00 [irq/51-pciehp]
root          86       2  0 09:31 ?        00:00:00 [irq/52-pciehp]
root          87       2  0 09:31 ?        00:00:00 [irq/53-pciehp]
root          88       2  0 09:31 ?        00:00:00 [irq/54-pciehp]
root          89       2  0 09:31 ?        00:00:00 [irq/55-pciehp]
root          90       2  0 09:31 ?        00:00:00 [kworker/R-acpi_]
root          92       2  0 09:31 ?        00:00:00 [scsi_eh_0]
root          93       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root          94       2  0 09:31 ?        00:00:00 [scsi_eh_1]
root          95       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root          99       2  0 09:31 ?        00:00:00 [kworker/R-mld]
root         100       2  0 09:31 ?        00:00:00 [kworker/R-ipv6_]
root         102       2  0 09:31 ?        00:00:00 [kworker/u258:2-events_freezable_power_]
root         108       2  0 09:31 ?        00:00:00 [kworker/R-kstrp]
root         110       2  0 09:31 ?        00:00:00 [kworker/u259:0-hci0]
root         111       2  0 09:31 ?        00:00:00 [kworker/u260:0-ttm]
root         112       2  0 09:31 ?        00:00:00 [kworker/u261:0-ttm]
root         125       2  0 09:31 ?        00:00:00 [kworker/R-charg]
root         151       2  0 09:31 ?        00:00:00 [kworker/0:1H]
root         174       2  0 09:31 ?        00:00:00 [kworker/R-mpt_p]
root         175       2  0 09:31 ?        00:00:00 [kworker/R-mpt/0]
root         186       2  0 09:31 ?        00:00:00 [scsi_eh_2]
root         187       2  0 09:31 ?        00:00:00 [scsi_eh_3]
root         188       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root         189       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root         190       2  0 09:31 ?        00:00:00 [scsi_eh_4]
root         191       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root         192       2  0 09:31 ?        00:00:00 [scsi_eh_5]
root         193       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root         194       2  0 09:31 ?        00:00:00 [scsi_eh_6]
root         195       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
root         196       2  0 09:31 ?        00:00:00 [scsi_eh_7]
root         197       2  0 09:31 ?        00:00:00 [kworker/R-scsi_]
