F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root           1       0  4  80   0 -  5864 ep_pol 09:31 ?        00:00:18 /sbin/init splash
1 S root           2       0  0  80   0 -     0 kthrea 09:31 ?        00:00:00 [kthreadd]
1 S root           3       2  0  80   0 -     0 kthrea 09:31 ?        00:00:00 [pool_workqueue_release]
1 I root           4       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-rcu_g]
1 I root           5       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-rcu_p]
1 I root           6       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-slub_]
1 I root           7       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-netns]
1 I root           8       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/0:0-events]
1 I root          10       2  0  60 -20 -     0 worker 09:31 ?        00:00:00 [kworker/0:0H-kblockd]
1 I root          11       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/u256:0-ext4-rsv-conversion]
1 I root          12       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-mm_pe]
1 I root          13       2  0  80   0 -     0 rcu_ta 09:31 ?        00:00:00 [rcu_tasks_kthread]
1 I root          14       2  0  80   0 -     0 rcu_ta 09:31 ?        00:00:00 [rcu_tasks_rude_kthread]
1 I root          15       2  0  80   0 -     0 rcu_ta 09:31 ?        00:00:00 [rcu_tasks_trace_kthread]
1 S root          16       2  0  80   0 -     0 smpboo 09:31 ?        00:00:00 [ksoftirqd/0]
1 I root          17       2  0  80   0 -     0 rcu_gp 09:31 ?        00:00:02 [rcu_preempt]
1 S root          18       2  0 -40   - -     0 smpboo 09:31 ?        00:00:00 [migration/0]
1 S root          19       2  0   9   - -     0 smpboo 09:31 ?        00:00:00 [idle_inject/0]
1 S root          20       2  0  80   0 -     0 smpboo 09:31 ?        00:00:00 [cpuhp/0]
1 S root          21       2  0  80   0 -     0 smpboo 09:31 ?        00:00:00 [cpuhp/1]
1 S root          22       2  0   9   - -     0 smpboo 09:31 ?        00:00:00 [idle_inject/1]
1 S root          23       2  0 -40   - -     0 smpboo 09:31 ?        00:00:00 [migration/1]
1 S root          24       2  0  80   0 -     0 smpboo 09:31 ?        00:00:00 [ksoftirqd/1]
1 I root          25       2  0  80   0 -     0 worker 09:31 ?        00:00:00 [kworker/1:0-inet_frag_wq]
1 I root          28       2  0  80   0 -     0 worker 09:31 ?        00:00:01 [kworker/u258:0-flush-8:0]
5 S root          29       2  0  80   0 -     0 devtmp 09:31 ?        00:00:00 [kdevtmpfs]
1 I root          30       2  0  60 -20 -     0 rescue 09:31 ?        00:00:00 [kworker/R-inet_]
5 I root          31       2  1  80   0 -     0 worker 09:31 ?        00:00:05 [kworker/u257:1-events_power_efficient]
