USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    09:31   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-netns]
root           8  0.1  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/0:0-events]
root          10  0.2  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/0:0H-kblockd]
root          11  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u256:0-ext4-rsv-conversion]
root          12  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [rcu_tasks_trace_kthread]
root          16  0.1  0.0      0     0 ?        S    09:31   0:00  \_ [ksoftirqd/0]
root          17  0.4  0.0      0     0 ?        I    09:31   0:02  \_ [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [migration/0]
root          19  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [idle_inject/1]
root          23  0.1  0.0      0     0 ?        S    09:31   0:00  \_ [migration/1]
root          24  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [ksoftirqd/1]
root          25  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/1:0-inet_frag_wq]
root          28  0.3  0.0      0     0 ?        I    09:31   0:01  \_ [kworker/u258:0-events_unbound]
root          29  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [kdevtmpfs]
root          30  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-inet_]
root          31  1.4  0.0      0     0 ?        I    09:31   0:05  \_ [kworker/u257:1-events_power_efficient]
root          32  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [kauditd]
root          33  0.4  0.0      0     0 ?        I    09:31   0:01  \_ [kworker/0:2-events]
root          34  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [khungtaskd]
root          35  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [oom_reaper]
root          36  0.0  0.0      0     0 ?        I    09:31   0:00  \_ [kworker/u258:1-flush-8:0]
root          37  0.0  0.0      0     0 ?        I<   09:31   0:00  \_ [kworker/R-write]
root          38  0.0  0.0      0     0 ?        S    09:31   0:00  \_ [kcompactd0]
root          39  0.0  0.0      0     0 ?        SN   09:31   0:00  \_ [ksmd]
