top - 09:38:26 up 6 min,  1 user,  load average: 1.09, 2.14, 1.24
Tasks: 338 total,   1 running, 337 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.4 us, 29.6 sy, 14.8 ni, 40.7 id,  7.4 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3868.2 total,    133.0 free,   1820.2 used,   2237.7 buff/cache     
MiB Swap:   3868.0 total,   3868.0 free,      0.0 used.   2048.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7331 root      20   0    8900   5120   3072 R  20.0   0.1   0:00.07 top
   3659 adminis+  39  19  961704  45512  18768 S   6.7   1.1   0:02.22 tracker+
      1 root      20   0   23456  14460   9596 S   0.0   0.4   0:18.11 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.28 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root      20   0       0      0      0 I   0.0   0.0   0:00.61 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.96 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.45 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:02.03 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.56 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.34 ksoftir+
