Module                  Size  Used by
mptcp_diag             12288  0
xsk_diag               12288  0
vsock_diag             12288  0
tcp_diag               12288  0
udp_diag               12288  0
raw_diag               12288  0
inet_diag              28672  4 tcp_diag,mptcp_diag,raw_diag,udp_diag
unix_diag              12288  0
af_packet_diag         12288  0
netlink_diag           12288  0
isofs                  61440  1
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
bnep                   32768  2
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
intel_uncore_frequency_common    16384  0
intel_pmc_core        118784  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              12288  1 pmt_telemetry
crct10dif_pclmul       12288  1
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
aesni_intel           356352  0
snd_ens1371            36864  1
snd_ac97_codec        196608  1 snd_ens1371
vmw_balloon            28672  0
crypto_simd            16384  1 aesni_intel
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
rapl                   20480  0
gameport               20480  1 snd_ens1371
ac97_bus               12288  1 snd_ac97_codec
snd_pcm               192512  2 snd_ac97_codec,snd_ens1371
snd_seq_midi           24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
snd_rawmidi            57344  2 snd_seq_midi,snd_ens1371
btusb                  77824  0
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
btrtl                  32768  1 btusb
btintel                57344  1 btusb
btbcm                  24576  1 btusb
btmtk                  12288  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
bluetooth            1028096  15 btrtl,btmtk,btintel,btbcm,bnep,btusb
snd                   143360  11 snd_seq,snd_seq_device,snd_timer,snd_ac97_codec,snd_pcm,snd_rawmidi,snd_ens1371
ecdh_generic           16384  1 bluetooth
ecc                    45056  1 ecdh_generic
soundcore              16384  1 snd
i2c_piix4              32768  0
qrtr                   53248  2
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
vsock_loopback         12288  0
vmw_vsock_virtio_transport_common    57344  1 vsock_loopback
vmw_vsock_vmci_transport    49152  2
vsock                  61440  8 vmw_vsock_virtio_transport_common,vsock_loopback,vsock_diag,vmw_vsock_vmci_transport
vmw_vmci              106496  2 vmw_balloon,vmw_vsock_vmci_transport
ip6t_REJECT            12288  1
nf_reject_ipv6         24576  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         12288  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          20480  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  4
xt_tcpudp              16384  60
xt_conntrack           12288  16
nf_conntrack          196608  1 xt_conntrack
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  117
binfmt_misc            24576  1
nf_tables             376832  606 nft_compat,nft_limit
libcrc32c              12288  2 nf_conntrack,nf_tables
vmwgfx                446464  14
drm_ttm_helper         12288  1 vmwgfx
ttm                   110592  2 vmwgfx,drm_ttm_helper
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  3 nft_compat,nf_tables
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  11 xt_conntrack,nft_compat,xt_LOG,xt_tcpudp,xt_addrtype,ip6t_rt,ipt_REJECT,ip_tables,xt_limit,xt_hl,ip6t_REJECT
autofs4                57344  2
hid_generic            12288  0
crc32_pclmul           12288  0
mptspi                 24576  1
psmouse               217088  0
mptscsih               49152  1 mptspi
usbhid                 77824  0
hid                   180224  2 usbhid,hid_generic
ahci                   49152  1
mptbase               118784  2 mptspi,mptscsih
libahci                53248  1 ahci
e1000                 180224  0
scsi_transport_spi     40960  1 mptspi
pata_acpi              12288  0
