CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
22:11.7,C:\Users\Administrator\NTUSER.DAT,C:\Users\happy.grunwald\Desktop\acq\C\Users\Administrator\NTUSER.DAT,786432,6A105364B55C99FBA46605155910C26775EF2254,FALSE,22:38.5,17:30.4,17:30.4,0:00:00
22:11.8,C:\Users\CyberJunkie\NTUSER.DAT,C:\Users\happy.grunwald\Desktop\acq\C\Users\CyberJunkie\NTUSER.DAT,1048576,1F380670288FD54E0AA2CC5E4376FB76A36A2B7B,FALSE,12:53.9,17:30.4,17:30.4,0:00:00
22:11.8,C:\Users\Default\NTUSER.DAT,C:\Users\happy.grunwald\Desktop\acq\C\Users\Default\NTUSER.DAT,262144,24787A28A907B8217FF70BB9F08DA42BD0E7C3E0,FALSE,03:44.6,17:30.3,17:30.3,0:00:00
22:11.8,C:\Users\defaultuser0\NTUSER.DAT,C:\Users\happy.grunwald\Desktop\acq\C\Users\defaultuser0\NTUSER.DAT,524288,091DD763D9C24255ABE218108D44D02E9060647C,FALSE,51:51.4,02:42.3,02:42.3,00:00.0
22:11.8,C:\Users\Administrator\ntuser.dat.LOG1,C:\Users\happy.grunwald\Desktop\acq\C\Users\Administrator\ntuser.dat.LOG1,73728,DD066DFECAECF3E91865B089E21F2F35A7033FF2,FALSE,22:38.5,22:38.5,22:38.5,0:00:00
22:11.8,C:\Users\Administrator\ntuser.dat.LOG2,C:\Users\happy.grunwald\Desktop\acq\C\Users\Administrator\ntuser.dat.LOG2,0,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,FALSE,22:38.5,22:38.5,22:38.5,0:00:00
22:11.8,C:\Users\CyberJunkie\ntuser.dat.LOG1,C:\Users\happy.grunwald\Desktop\acq\C\Users\CyberJunkie\ntuser.dat.LOG1,163840,0306948A7196CAC48526BBEEBCF65372D0074989,FALSE,12:54.0,12:54.0,12:54.0,00:00.0
22:11.8,C:\Users\CyberJunkie\ntuser.dat.LOG2,C:\Users\happy.grunwald\Desktop\acq\C\Users\CyberJunkie\ntuser.dat.LOG2,258048,4AC8755BDD836019D056D6D93F902108CED526D0,FALSE,12:54.0,12:54.0,12:54.0,0:00:00
22:11.8,C:\Users\Default\NTUSER.DAT.LOG1,C:\Users\happy.grunwald\Desktop\acq\C\Users\Default\NTUSER.DAT.LOG1,45056,BDA04AAECD9BBB969FAA655B978CE4101AC78ECC,FALSE,03:44.7,03:44.7,12:31.2,0:00:00
22:11.9,C:\Users\Default\NTUSER.DAT.LOG2,C:\Users\happy.grunwald\Desktop\acq\C\Users\Default\NTUSER.DAT.LOG2,20480,2E2AA828853A768009D92EA0502AC61CD1C61D79,FALSE,03:44.7,03:44.7,12:31.2,0:00:00
