UNIT FILE                                  STATE           PRESET
proc-sys-fs-binfmt_misc.automount          static          -
-.mount                                    generated       -
dev-hugepages.mount                        static          -
dev-mqueue.mount                           static          -
home.mount                                 generated       -
proc-sys-fs-binfmt_misc.mount              disabled        disabled
run-vmblock\x2dfuse.mount                  enabled         enabled
sys-fs-fuse-connections.mount              static          -
sys-kernel-config.mount                    static          -
sys-kernel-debug.mount                     static          -
sys-kernel-tracing.mount                   static          -
systemd-ask-password-console.path          static          -
systemd-ask-password-plymouth.path         static          -
systemd-ask-password-wall.path             static          -
session-2.scope                            transient       -
accounts-daemon.service                    enabled         enabled
alsa-restore.service                       static          -
alsa-state.service                         static          -
alsa-utils.service                         masked          enabled
anacron.service                            enabled         enabled
apache-htcacheclean.service                disabled        enabled
apache-htcacheclean@.service               disabled        enabled
apache2.service                            disabled        disabled
apache2@.service                           disabled        enabled
apparmor.service                           enabled         enabled
apt-daily-upgrade.service                  static          -
apt-daily.service                          static          -
autovt@.service                            alias           -
avahi-daemon.service                       disabled        disabled
beef-xss.service                           disabled        disabled
bettercap.service                          static          -
binfmt-support.service                     enabled         enabled
blk-availability.service                   enabled         enabled
blueman-mechanism.service                  enabled         enabled
bluetooth.service                          enabled         enabled
console-getty.service                      disabled        disabled
console-setup.service                      enabled         enabled
container-getty@.service                   static          -
cpupower-gui-helper.service                static          -
cron.service                               enabled         enabled
cryptdisks-early.service                   masked          enabled
cryptdisks.service                         masked          enabled
darkstat.service                           generated       -
dbus-fi.w1.wpa_supplicant1.service         alias           -
dbus-org.bluez.service                     alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.ModemManager1.service alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus.service                               static          -
debug-shell.service                        disabled        disabled
display-manager.service                    alias           -
dm-event.service                           static          -
dns2tcp.service                            generated       -
dnsmasq.service                            disabled        enabled
dnsmasq@.service                           disabled        enabled
e2scrub@.service                           static          -
e2scrub_all.service                        static          -
e2scrub_fail@.service                      static          -
e2scrub_reap.service                       enabled         enabled
emergency.service                          static          -
exim4-base.service                         static          -
exim4.service                              generated       -
fstrim.service                             static          -
geoclue.service                            static          -
geoipupdate.service                        static          -
getty-static.service                       static          -
getty@.service                             enabled         enabled
greenbone-security-assistant.service       alias           -
gsad.service                               disabled        enabled
gvmd.service                               disabled        disabled
haveged.service                            enabled         enabled
hddtemp.service                            generated       -
hostapd-wpe.service                        enabled         enabled
hostapd.service                            disabled        disabled
hostapd@.service                           disabled        enabled
hv-fcopy-daemon.service                    disabled        enabled
hv-kvp-daemon.service                      disabled        enabled
hv-vss-daemon.service                      disabled        enabled
hwclock.service                            masked          enabled
ifup@.service                              static          -
ifupdown-pre.service                       static          -
ifupdown-wait-online.service               disabled        enabled
iio-sensor-proxy.service                   static          -
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
iodined.service                            masked          disabled
ipsec.service                              alias           -
isc-dhcp-server.service                    generated       -
keyboard-setup.service                     enabled         enabled
kmod-static-nodes.service                  static          -
kmod.service                               alias           -
l2tpd.service                              alias           -
lightdm.service                            enabled         enabled
lighttpd.service                           disabled        disabled
lm-sensors.service                         enabled         enabled
logrotate.service                          static          -
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       enabled         enabled
lvm2-pvscan@.service                       static          -
lvm2.service                               masked          enabled
lynis.service                              static          -
man-db.service                             static          -
mdadm-grow-continue@.service               static          -
mdadm-last-resort@.service                 static          -
mdadm-shutdown.service                     enabled         enabled
mdadm-waitidle.service                     masked          enabled
mdadm.service                              masked          enabled
mdcheck_continue.service                   static          -
mdcheck_start.service                      static          -
mdmon@.service                             static          -
mdmonitor-oneshot.service                  static          -
mdmonitor.service                          static          -
miredo-server.service                      generated       -
miredo.service                             disabled        disabled
ModemManager.service                       enabled         enabled
modprobe@.service                          static          -
networking.service                         enabled         enabled
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         enabled
NetworkManager.service                     enabled         enabled
nftables.service                           disabled        enabled
nginx.service                              disabled        disabled
nm-priv-helper.service                     static          -
nmbd.service                               disabled        disabled
ntp.service                                disabled        enabled
open-vm-tools.service                      enabled         enabled
openvpn-client@.service                    disabled        enabled
openvpn-server@.service                    disabled        enabled
openvpn.service                            enabled         enabled
openvpn@.service                           disabled        enabled
ospd-openvas.service                       disabled        disabled
pcscd.service                              indirect        enabled
phpsessionclean.service                    static          -
plymouth-halt.service                      static          -
plymouth-kexec.service                     static          -
plymouth-log.service                       alias           -
plymouth-poweroff.service                  static          -
plymouth-quit-wait.service                 static          -
plymouth-quit.service                      static          -
plymouth-read-write.service                static          -
plymouth-reboot.service                    static          -
plymouth-start.service                     static          -
plymouth-switch-root.service               static          -
plymouth.service                           alias           -
polkit.service                             static          -
postgresql.service                         disabled        disabled
postgresql@.service                        indirect        disabled
procps.service                             alias           -
ptunnel.service                            generated       -
pulseaudio-enable-autospawn.service        masked          enabled
qemu-guest-agent.service                   static          -
quotaon.service                            static          -
rc-local.service                           static          -
rc.service                                 masked          enabled
rcS.service                                masked          enabled
redis-server.service                       disabled        disabled
redis-server@.service                      disabled        disabled
rescue.service                             static          -
rngd.service                               enabled         enabled
rsync.service                              enabled         enabled
rsyslog.service                            disabled        disabled
rtkit-daemon.service                       disabled        enabled
samba-ad-dc.service                        masked          enabled
screen-cleanup.service                     masked          enabled
selinux-autorelabel-mark.service           static          -
selinux-autorelabel.service                static          -
serial-getty@.service                      disabled        enabled
smbd.service                               disabled        disabled
speech-dispatcher.service                  generated       -
speech-dispatcherd.service                 disabled        enabled
spice-vdagent.service                      alias           -
spice-vdagentd.service                     indirect        enabled
ssh.service                                disabled        enabled
ssh@.service                               static          -
sslh.service                               enabled         enabled
strongswan-starter.service                 disabled        disabled
stunnel4.service                           generated       -
stunnel@.service                           disabled        disabled
sudo.service                               masked          enabled
sysstat-collect.service                    static          -
sysstat-summary.service                    static          -
sysstat.service                            enabled         enabled
system-update-cleanup.service              static          -
systemd-ask-password-console.service       static          -
systemd-ask-password-plymouth.service      static          -
systemd-ask-password-wall.service          static          -
systemd-backlight@.service                 static          -
systemd-binfmt.service                     static          -
systemd-boot-check-no-failures.service     disabled        disabled
systemd-exit.service                       static          -
systemd-fsck-root.service                  enabled-runtime enabled
systemd-fsck@.service                      static          -
systemd-fsckd.service                      static          -
systemd-halt.service                       static          -
systemd-hibernate-resume@.service          static          -
systemd-hibernate.service                  static          -
systemd-hostnamed.service                  static          -
systemd-hybrid-sleep.service               static          -
systemd-initctl.service                    static          -
systemd-journal-flush.service              static          -
systemd-journald.service                   static          -
systemd-journald@.service                  static          -
systemd-kexec.service                      static          -
systemd-localed.service                    static          -
systemd-logind.service                     static          -
systemd-machine-id-commit.service          static          -
systemd-modules-load.service               static          -
systemd-network-generator.service          disabled        enabled
systemd-networkd-wait-online.service       disabled        disabled
systemd-networkd-wait-online@.service      disabled        enabled
systemd-networkd.service                   disabled        enabled
systemd-poweroff.service                   static          -
systemd-pstore.service                     enabled         enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime enabled
systemd-repart.service                     static          -
systemd-resolved.service                   disabled        disabled
systemd-rfkill.service                     static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysext.service                     disabled        enabled
systemd-sysusers.service                   static          -
systemd-time-wait-sync.service             disabled        disabled
systemd-timedated.service                  static          -
systemd-timesyncd.service                  masked          disabled
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-volatile-root.service              static          -
thin.service                               generated       -
tor.service                                disabled        disabled
tor@.service                               indirect        enabled
tor@default.service                        enabled-runtime enabled
udev.service                               alias           -
udisks2.service                            enabled         enabled
ufw.service                                enabled         enabled
upower.service                             disabled        enabled
usb_modeswitch@.service                    static          -
usbmuxd.service                            static          -
user-runtime-dir@.service                  static          -
user@.service                              static          -
uuidd.service                              indirect        enabled
vgauth.service                             enabled         enabled
virtualbox-guest-utils.service             enabled         enabled
vmtoolsd.service                           alias           -
vpnc@.service                              disabled        enabled
wacom-inputattach@.service                 static          -
wpa_supplicant-nl80211@.service            disabled        enabled
wpa_supplicant-wired@.service              disabled        enabled
wpa_supplicant.service                     enabled         enabled
wpa_supplicant@.service                    disabled        enabled
x11-common.service                         masked          enabled
xl2tpd.service                             generated       -
machine.slice                              static          -
system-systemd\x2dcryptsetup.slice         static          -
user.slice                                 static          -
avahi-daemon.socket                        disabled        disabled
dbus.socket                                static          -
dm-event.socket                            enabled         enabled
lvm2-lvmpolld.socket                       enabled         enabled
pcscd.socket                               enabled         enabled
spice-vdagentd.socket                      static          -
ssh.socket                                 disabled        enabled
syslog.socket                              static          -
systemd-fsckd.socket                       static          -
systemd-initctl.socket                     static          -
systemd-journald-audit.socket              static          -
systemd-journald-dev-log.socket            static          -
systemd-journald-varlink@.socket           static          -
systemd-journald.socket                    static          -
systemd-journald@.socket                   static          -
systemd-networkd.socket                    disabled        enabled
systemd-rfkill.socket                      static          -
systemd-udevd-control.socket               static          -
systemd-udevd-kernel.socket                static          -
uuidd.socket                               enabled         enabled
basic.target                               static          -
blockdev@.target                           static          -
bluetooth.target                           static          -
boot-complete.target                       static          -
cryptsetup-pre.target                      static          -
cryptsetup.target                          static          -
ctrl-alt-del.target                        alias           -
default.target                             alias           -
emergency.target                           static          -
exit.target                                disabled        disabled
factory-reset.target                       static          -
final.target                               static          -
first-boot-complete.target                 static          -
getty-pre.target                           static          -
getty.target                               static          -
graphical.target                           static          -
halt.target                                disabled        disabled
hibernate.target                           static          -
hybrid-sleep.target                        static          -
initrd-fs.target                           static          -
initrd-root-device.target                  static          -
initrd-root-fs.target                      static          -
initrd-switch-root.target                  static          -
initrd-usr-fs.target                       static          -
initrd.target                              static          -
integritysetup-pre.target                  static          -
integritysetup.target                      static          -
kexec.target                               disabled        disabled
local-fs-pre.target                        static          -
local-fs.target                            static          -
multi-user.target                          static          -
network-online.target                      static          -
network-pre.target                         static          -
network.target                             static          -
nss-lookup.target                          static          -
nss-user-lookup.target                     static          -
paths.target                               static          -
poweroff.target                            disabled        disabled
printer.target                             static          -
reboot.target                              disabled        enabled
remote-cryptsetup.target                   disabled        enabled
remote-fs-pre.target                       static          -
remote-fs.target                           enabled         enabled
remote-veritysetup.target                  disabled        enabled
rescue-ssh.target                          static          -
rescue.target                              static          -
rpcbind.target                             static          -
runlevel0.target                           alias           -
runlevel1.target                           alias           -
runlevel2.target                           alias           -
runlevel3.target                           alias           -
runlevel4.target                           alias           -
runlevel5.target                           alias           -
runlevel6.target                           alias           -
selinux-autorelabel.target                 static          -
shutdown.target                            static          -
sigpwr.target                              static          -
sleep.target                               static          -
slices.target                              static          -
smartcard.target                           static          -
sockets.target                             static          -
sound.target                               static          -
stunnel.target                             disabled        disabled
suspend-then-hibernate.target              static          -
suspend.target                             static          -
swap.target                                static          -
sysinit.target                             static          -
system-update-pre.target                   static          -
system-update.target                       static          -
time-set.target                            static          -
time-sync.target                           static          -
timers.target                              static          -
umount.target                              static          -
usb-gadget.target                          static          -
veritysetup-pre.target                     static          -
veritysetup.target                         static          -
anacron.timer                              enabled         enabled
apt-daily-upgrade.timer                    enabled         disabled
apt-daily.timer                            enabled         enabled
e2scrub_all.timer                          enabled         enabled
exim4-base.timer                           enabled         enabled
fstrim.timer                               enabled         enabled
geoipupdate.timer                          enabled         enabled
logrotate.timer                            enabled         enabled
lynis.timer                                enabled         enabled
man-db.timer                               enabled         enabled
mdadm-last-resort@.timer                   static          -
mdcheck_continue.timer                     disabled        enabled
mdcheck_start.timer                        disabled        enabled
mdmonitor-oneshot.timer                    disabled        enabled
phpsessionclean.timer                      enabled         enabled
sysstat-collect.timer                      enabled         enabled
sysstat-summary.timer                      enabled         enabled
systemd-tmpfiles-clean.timer               static          -

384 unit files listed.
