USER         PID    PPID    VSZ   RSS TTY      STAT STIME     TIME COMMAND
root           1       0 166628 12044 ?        Ss   Dec17 00:00:08 /sbin/init splash
root           2       0      0     0 ?        S    Dec17 00:00:00 [kthreadd]
root           3       2      0     0 ?        I<   Dec17 00:00:00 [rcu_gp]
root           4       2      0     0 ?        I<   Dec17 00:00:00 [rcu_par_gp]
root           5       2      0     0 ?        I<   Dec17 00:00:00 [slub_flushwq]
root           6       2      0     0 ?        I<   Dec17 00:00:00 [netns]
root           8       2      0     0 ?        I<   Dec17 00:00:00 [kworker/0:0H-events_highpri]
root          10       2      0     0 ?        I<   Dec17 00:00:00 [mm_percpu_wq]
root          11       2      0     0 ?        I    Dec17 00:00:00 [rcu_tasks_kthread]
root          12       2      0     0 ?        I    Dec17 00:00:00 [rcu_tasks_rude_kthread]
root          13       2      0     0 ?        I    Dec17 00:00:00 [rcu_tasks_trace_kthread]
root          14       2      0     0 ?        S    Dec17 00:00:00 [ksoftirqd/0]
root          15       2      0     0 ?        I    Dec17 00:00:45 [rcu_preempt]
root          16       2      0     0 ?        S    Dec17 00:00:01 [migration/0]
root          18       2      0     0 ?        S    Dec17 00:00:00 [cpuhp/0]
root          19       2      0     0 ?        S    Dec17 00:00:00 [cpuhp/1]
root          20       2      0     0 ?        S    Dec17 00:00:01 [migration/1]
root          21       2      0     0 ?        S    Dec17 00:00:11 [ksoftirqd/1]
root          23       2      0     0 ?        I<   Dec17 00:00:00 [kworker/1:0H-events_highpri]
root          24       2      0     0 ?        S    Dec17 00:00:00 [cpuhp/2]
root          25       2      0     0 ?        S    Dec17 00:00:01 [migration/2]
root          26       2      0     0 ?        S    Dec17 00:00:00 [ksoftirqd/2]
root          28       2      0     0 ?        I<   Dec17 00:00:00 [kworker/2:0H-events_highpri]
root          29       2      0     0 ?        S    Dec17 00:00:00 [cpuhp/3]
root          30       2      0     0 ?        S    Dec17 00:00:01 [migration/3]
root          31       2      0     0 ?        S    Dec17 00:00:00 [ksoftirqd/3]
root          33       2      0     0 ?        I<   Dec17 00:00:00 [kworker/3:0H-events_highpri]
root          38       2      0     0 ?        S    Dec17 00:00:00 [kdevtmpfs]
root          39       2      0     0 ?        I<   Dec17 00:00:00 [inet_frag_wq]
root          40       2      0     0 ?        S    Dec17 00:00:00 [kauditd]
root          42       2      0     0 ?        S    Dec17 00:00:00 [khungtaskd]
root          43       2      0     0 ?        S    Dec17 00:00:00 [oom_reaper]
root          44       2      0     0 ?        I<   Dec17 00:00:00 [writeback]
root          45       2      0     0 ?        S    Dec17 00:00:07 [kcompactd0]
root          46       2      0     0 ?        SN   Dec17 00:00:00 [ksmd]
root          47       2      0     0 ?        SN   Dec17 00:00:02 [khugepaged]
root          48       2      0     0 ?        I<   Dec17 00:00:00 [kintegrityd]
root          49       2      0     0 ?        I<   Dec17 00:00:00 [kblockd]
root          50       2      0     0 ?        I<   Dec17 00:00:00 [blkcg_punt_bio]
root          51       2      0     0 ?        I<   Dec17 00:00:00 [tpm_dev_wq]
root          52       2      0     0 ?        I<   Dec17 00:00:00 [edac-poller]
root          53       2      0     0 ?        I<   Dec17 00:00:00 [devfreq_wq]
root          56       2      0     0 ?        I<   Dec17 00:00:01 [kworker/2:1H-kblockd]
root          57       2      0     0 ?        S    Dec17 00:00:00 [kswapd0]
root          64       2      0     0 ?        I<   Dec17 00:00:00 [kthrotld]
root          66       2      0     0 ?        S    Dec17 00:00:00 [irq/24-pciehp]
root          67       2      0     0 ?        S    Dec17 00:00:00 [irq/25-pciehp]
root          68       2      0     0 ?        S    Dec17 00:00:00 [irq/26-pciehp]
root          69       2      0     0 ?        S    Dec17 00:00:00 [irq/27-pciehp]
root          70       2      0     0 ?        S    Dec17 00:00:00 [irq/28-pciehp]
