CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-01-21 02:02:38.1877046,C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx,C:\Users\Administrator\PicturesHELPDESK\C\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx,1052672,C756BA8DF797F9778CDB569A76094BCD1D22D159,False,2024-10-16 03:11:21.6213353,2024-12-20 23:40:29.2742550,2025-01-21 01:36:30.4454167,00:00:00.0156681
2025-01-21 02:02:38.5324062,C:\Windows\Temp\MpCmdRun.log,C:\Users\Administrator\PicturesHELPDESK\C\Windows\Temp\MpCmdRun.log,86696,7CA4C04B02784C26E6836A63E04A7B8DA1E51A3C,False,2024-10-16 03:11:48.4492794,2025-01-20 12:22:00.6551601,2025-01-21 01:36:30.7426167,00:00:00.0632590
2025-01-21 02:02:38.5470732,C:\Users\A7md-NaS3eR\AppData\Roaming\Microsoft\Protect\S-1-5-21-953115734-2025219997-3674921352-1001\10723193-1b5d-4ca9-85d0-557cbedf524e,C:\Users\Administrator\PicturesHELPDESK\C\Users\A7md-NaS3eR\AppData\Roaming\Microsoft\Protect\S-1-5-21-953115734-2025219997-3674921352-1001\10723193-1b5d-4ca9-85d0-557cbedf524e,468,F7F365A4D2B3A2290DEA0A7AB1CCB91FC6293CA9,False,2024-10-16 03:26:01.9659292,2024-10-16 03:26:01.9659292,2025-01-21 01:36:30.7896253,00:00:00
2025-01-21 02:02:38.5626445,C:\Users\A7md-NaS3eR\AppData\Roaming\Microsoft\Protect\S-1-5-21-953115734-2025219997-3674921352-1001\Preferred,C:\Users\Administrator\PicturesHELPDESK\C\Users\A7md-NaS3eR\AppData\Roaming\Microsoft\Protect\S-1-5-21-953115734-2025219997-3674921352-1001\Preferred,24,96FBC790DD332E5F84B2654CF50D27D02F53B5F8,False,2024-10-16 03:26:01.9713863,2024-10-16 03:26:01.9713863,2025-01-21 01:36:30.7896253,00:00:00
2025-01-21 02:02:38.5786716,C:\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\30460f12-fd6b-47cc-8a61-27e2169d2ae0,C:\Users\Administrator\PicturesHELPDESK\C\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\30460f12-fd6b-47cc-8a61-27e2169d2ae0,740,2C955FA04414777A3E9BBBA57B0877129EDA40AB,False,2025-01-02 20:19:18.2464494,2025-01-02 20:19:18.2619095,2025-01-21 01:36:30.8206169,00:00:00
2025-01-21 02:02:38.5946901,C:\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\BK-CONDA,C:\Users\Administrator\PicturesHELPDESK\C\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\BK-CONDA,904,A3E5F9FE364F40C8CD64701C2A570445BA00AEC3,False,2025-01-02 20:19:18.2464494,2025-01-02 20:19:18.2464494,2025-01-21 01:36:30.8680855,00:00:00
2025-01-21 02:02:38.6096637,C:\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\Preferred,C:\Users\Administrator\PicturesHELPDESK\C\Users\Administrator\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-500\Preferred,24,EFC52A92139C960F98DA65C417F2378C0DE943DD,False,2025-01-02 20:19:18.2619095,2025-01-02 20:19:18.2619095,2025-01-21 01:36:30.8830630,00:00:00
2025-01-21 02:02:38.6252177,C:\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\24b9fbfe-5eab-446b-93f9-db06415bd864,C:\Users\Administrator\PicturesHELPDESK\C\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\24b9fbfe-5eab-446b-93f9-db06415bd864,740,4650692622B7B1C25D0AD74AE52C3378B8A57B0E,False,2025-01-20 23:33:42.4812191,2025-01-20 23:33:42.4967411,2025-01-21 01:17:24.3917631,00:00:00
2025-01-21 02:02:38.6252177,C:\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\b9bedf76-e3b8-4213-9d34-3d3549812209,C:\Users\Administrator\PicturesHELPDESK\C\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\b9bedf76-e3b8-4213-9d34-3d3549812209,740,2AC113E2D731C1EFAC5A7CB5D41DBC8B193F0FAF,False,2025-01-20 23:33:45.9499401,2025-01-20 23:33:45.9658736,2025-01-21 01:17:53.8916355,00:00:00
2025-01-21 02:02:38.6573813,C:\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\BK-CONDA,C:\Users\Administrator\PicturesHELPDESK\C\Users\Alpha\AppData\Roaming\Microsoft\Protect\S-1-5-21-513469060-545235169-1432983555-1121\BK-CONDA,904,436071AFBBBE71E5A49F7379F86C05EA42347F5A,False,2025-01-20 23:33:42.4812191,2025-01-20 23:33:42.4812191,2025-01-21 01:36:31.0236394,00:00:00
