RunTime,ExecutableName
2025-01-10 21:40:23,\VOLUME{01db1f7e28919d28-3228de47}\USERS\ASD\DESKTOP\MAL\9.4.146.24.EXE
2024-10-16 20:51:20,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEMAPPS\MICROSOFT.ACCOUNTSCONTROL_CW5N1H2TXYEWY\ACCOUNTSCONTROLHOST.EXE
2025-01-08 18:50:39,\VOLUME{01db1f7e28919d28-3228de47}\USERS\ASD\DESKTOP\ADEXPLORER64.EXE
2025-01-10 20:54:09,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 20:09:31,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 20:08:57,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 20:08:43,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 20:08:37,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 19:56:03,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 19:55:18,APPINSTALLERPYTHONREDIRECTOR.
2025-01-10 19:54:03,APPINSTALLERPYTHONREDIRECTOR.
2025-01-21 01:56:48,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-11 15:50:46,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-10 19:51:37,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-08 18:53:42,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-04 21:53:19,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-03 14:32:09,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-03 13:16:41,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-02 22:16:23,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-21 01:48:00,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\ATTRIB.EXE
2025-01-21 01:47:46,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\ATTRIB.EXE
2025-01-21 01:56:08,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 01:46:52,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 01:34:44,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 01:19:43,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 00:45:20,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 00:39:30,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 00:14:40,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-21 00:07:03,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-20 23:59:55,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 01:55:26,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 01:18:56,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 00:50:00,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 00:38:00,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:52:14,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:48:29,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:43:26,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-11 16:37:10,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 00:01:01,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-10 21:24:07,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-04 16:17:23,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:44:23,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-14 13:13:20,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:59:42,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 00:37:19,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-20 23:59:15,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-14 13:13:21,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-10 19:50:44,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-04 17:56:25,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-04 17:37:01,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-04 16:17:23,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-03 17:28:02,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-10 20:51:22,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-21 01:18:05,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-10 21:00:52,\VOLUME{01db1f7e28919d28-3228de47}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
