[2025-05-30 13:35:33.2001251 | INF] KAPE directory: D:\kape\KAPE
[2025-05-30 13:35:33.2076457 | INF] Command line:   --tsource C: --target !SANS_Triage,ProgramData --tdest D:\KAPEOUT 
[2025-05-30 13:35:33.2086145 | INF] System info: Machine name: INVISIBLECHAINS, 64-bit: true, User: Ernes OS: "Windows10" (10.0.22631)
[2025-05-30 13:35:37.1964875 | INF] Using Target operations
[2025-05-30 13:35:37.1993064 | WRN]   Creating target destination directory D:\KAPEOUT
[2025-05-30 13:35:37.2345917 | INF] Found 2 targets. Expanding targets to file list...
[2025-05-30 13:35:37.3259839 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-05-30 13:35:37.8133506 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-05-30 13:35:37.8349714 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-05-30 13:35:37.8949058 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-05-30 13:35:37.9209220 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-05-30 13:35:42.7415300 | INF] Found 2,711 files in 5.524 seconds. Beginning copy...
[2025-05-30 13:35:43.6034667 | INF]   Deferring C:\Windows\System32\winevt\logs\Application.evtx due to IOException...
[2025-05-30 13:35:43.6044408 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx due to IOException...
[2025-05-30 13:35:43.6054190 | INF]   Deferring C:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx due to IOException...
[2025-05-30 13:35:43.6073716 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPDetection-20250529-141655.log due to IOException...
[2025-05-30 13:35:43.6073716 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPDeviceControl-20250529-141655.log due to IOException...
[2025-05-30 13:35:43.6083523 | INF]   Deferring C:\ProgramData\Microsoft\Windows Defender\Support\MPLog-20250529-141655.log due to IOException...
