CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-05-30 19:35:43.8041587,C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250529-141655-00000003-ffffffff.bin,D:\KAPEOUT\C\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250529-141655-00000003-ffffffff.bin,233472,70553A46739FD120AC8C6B3F3FABD00598836213,False,2025-05-29 21:16:55.2121467,2025-05-30 18:21:34.0282037,2025-05-30 18:21:34.0282037,00:00:00.0371824
2025-05-30 19:35:44.5454362,C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250530-112204-00000003-ffffffff.bin,D:\KAPEOUT\C\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250530-112204-00000003-ffffffff.bin,1130496,ABC08E5A663A0203D4609DD26C620DB844AD12F2,False,2025-05-30 18:22:04.3291702,2025-05-30 19:10:17.8978227,2025-05-30 19:10:17.8978227,00:00:00.6871048
2025-05-30 19:35:45.2782904,C:\Users\Ernes\AppData\Roaming\Microsoft\Protect\S-1-5-21-3742442691-1288352992-3554343984-1001\048e4ba8-0935-4601-9ef4-77da42611c4a,D:\KAPEOUT\C\Users\Ernes\AppData\Roaming\Microsoft\Protect\S-1-5-21-3742442691-1288352992-3554343984-1001\048e4ba8-0935-4601-9ef4-77da42611c4a,468,C2CB42E60A618B6B4C4C121D920B5644B7A317F2,False,2025-05-30 18:24:56.3821441,2025-05-30 19:14:00.3429109,2025-05-30 19:14:00.3429109,00:00:00.0276237
2025-05-30 19:35:45.3198161,C:\Users\Ernes\AppData\Roaming\Microsoft\Protect\S-1-5-21-3742442691-1288352992-3554343984-1001\Preferred,D:\KAPEOUT\C\Users\Ernes\AppData\Roaming\Microsoft\Protect\S-1-5-21-3742442691-1288352992-3554343984-1001\Preferred,24,E9D8B014685880551C4A73F575ABF6B0623E97F4,False,2025-05-30 18:24:56.3821441,2025-05-30 18:24:56.3821441,2025-05-30 18:42:58.4497375,00:00:00.0298270
2025-05-30 19:35:45.6242199,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1829.3860.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1829.3860.1.odl,2722,CFAA70156C2FB1DE1CED83787F7AF1F7E5B81013,False,2025-05-30 18:29:57.1113969,2025-05-30 18:29:57.1360000,2025-05-30 18:30:14.8076204,00:00:00.0575910
2025-05-30 19:35:45.6890662,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1829.3860.2.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1829.3860.2.odl,1175,4C61AB0E3D8DB000F122E24B647EF31D6D0709D9,False,2025-05-30 18:29:57.1789288,2025-05-30 18:30:03.2540000,2025-05-30 18:30:14.7397477,00:00:00.0283531
2025-05-30 19:35:45.7290343,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1830.9660.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1830.9660.1.odl,1172,0C09CF66B10A8BECC061976A0A0D13526F9D744D,False,2025-05-30 18:30:02.8949004,2025-05-30 18:30:02.9020000,2025-05-30 18:30:14.9726388,00:00:00.0279372
2025-05-30 19:35:45.7704322,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1830.9660.2.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1830.9660.2.odl,3068,501C797531E44F99071F7217A7D0DE1EF6B44A7C,False,2025-05-30 18:30:02.9109262,2025-05-30 18:30:11.6570000,2025-05-30 18:30:15.0728960,00:00:00.0282507
2025-05-30 19:35:45.8120848,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1836.3084.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1836.3084.1.odl,1172,F1032290F85EFA686F77358774C7D764FCCCC5F0,False,2025-05-30 18:36:23.2151054,2025-05-30 18:36:23.2310000,2025-05-30 18:36:24.1812437,00:00:00.0303614
2025-05-30 19:35:45.8663133,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1836.3084.2.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1836.3084.2.odl,6382,7DBF1DB693D139DB7A6361B39E27348D37E578CE,False,2025-05-30 18:36:23.2316951,2025-05-30 18:38:34.1126356,2025-05-30 19:10:15.6095160,00:00:00.0400310
2025-05-30 19:35:45.9098752,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1914.14296.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1914.14296.1.odl,1172,0C550B949540C5F951477B08F81FAE40F5BEEA3C,False,2025-05-30 19:14:38.8535646,2025-05-30 19:14:38.8690000,2025-05-30 19:14:38.8535646,00:00:00.0299085
2025-05-30 19:35:45.9516622,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1914.14296.2.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1914.14296.2.odl,3068,47827F0891C25CA3EBB308ABC6CEF3FC133D9900,False,2025-05-30 19:14:38.8691946,2025-05-30 19:14:45.2790000,2025-05-30 19:14:39.2633855,00:00:00.0308376
2025-05-30 19:35:45.9930610,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1918.11512.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1918.11512.1.odl,1172,E405F470DA364430D015848BE5EC7FB022D96BE6,False,2025-05-30 19:18:23.4419083,2025-05-30 19:18:23.4410000,2025-05-30 19:18:23.4419083,00:00:00.0294234
2025-05-30 19:35:46.0354143,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1918.11512.2.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2025-05-30.1918.11512.2.odl,5928,530358D4CB6614A0BFABD8EC0FCD628673C9219E,False,2025-05-30 19:18:23.4419083,2025-05-30 19:18:29.5520000,2025-05-30 19:18:23.5514655,00:00:00.0287433
2025-05-30 19:35:46.2697369,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileSyncConfig-2025-05-30.1829.4428.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\FileSyncConfig-2025-05-30.1829.4428.1.odl,4743,918339D111FCAAF5CD81CF5649CE95D7F2F43F08,False,2025-05-30 18:29:54.9125836,2025-05-30 18:29:54.9950000,2025-05-30 18:30:14.5235688,00:00:00.0302829
2025-05-30 19:35:46.3112457,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\general.keystore,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\general.keystore,111,BBEAB809DBD3B118DE287155DF1CBEA960C10C62,False,2025-05-30 18:29:57.1368063,2025-05-30 18:29:57.1368063,2025-05-30 18:36:23.2316951,00:00:00.0297341
2025-05-30 19:35:46.3769823,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\OneDriveLauncher-2025-05-30.1924.3880.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\OneDriveLauncher-2025-05-30.1924.3880.1.odl,1172,823899212E37441E2D1971B9B1099BAC58F4EC52,False,2025-05-30 19:24:02.8106567,2025-05-30 19:24:02.8260000,2025-05-30 19:24:02.8106567,00:00:00.0292168
2025-05-30 19:35:46.4196556,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\OneDriveLauncher-2025-05-30.1924.3880.2.aodl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\OneDriveLauncher-2025-05-30.1924.3880.2.aodl,9726,FA393D7DA7B025A002957472A30F2F4E0C0DFB9D,False,2025-05-30 19:24:02.8262774,2025-05-30 19:24:02.8731528,2025-05-30 19:24:02.8731528,00:00:00.0298933
2025-05-30 19:35:46.4654902,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\StandaloneUpdater-2025-05-30.1929.9376.1.odl,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\StandaloneUpdater-2025-05-30.1929.9376.1.odl,87598,F1B033BA361712DE1F1F82C90986096B8BF20559,False,2025-05-30 19:29:56.3062139,2025-05-30 19:31:01.0370000,2025-05-30 19:31:01.0372620,00:00:00.0340656
2025-05-30 19:35:46.5032608,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetry-dll-ramp-value.txt,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetry-dll-ramp-value.txt,12,A9FAAFD8D137D6B75157A497024F06E9E310B7C7,False,2025-05-30 18:29:54.9125836,2025-05-30 18:29:57.1361828,2025-05-30 18:36:23.2151054,00:00:00.0264589
2025-05-30 19:35:46.5426317,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc,4096,EEA136206474280549586923B7A4A3C6D5DB1E25,False,2025-05-30 19:24:02.8419019,2025-05-30 19:24:02.8575241,2025-05-30 19:24:02.8575241,00:00:00.0257057
2025-05-30 19:35:46.5803753,C:\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc-shm,D:\KAPEOUT\C\Users\Ernes\AppData\Local\Microsoft\OneDrive\logs\Common\telemetryCache.otc-shm,32768,838FEA9DA25DE2775D19886F89A86318899DB2E2,False,2025-05-30 19:24:02.8575241,2025-05-30 19:24:02.8575241,2025-05-30 19:24:02.8575241,00:00:00.0264525
