Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,IsLt,ConfigurationHash,EventTimestamp,StateTransition,ChargeLevel,CycleCount,DesignedCapacity,FullChargedCapacity,ActiveAcTime,ActiveDcTime,ActiveDischargeTime,ActiveEnergy,CsAcTime,CsDcTime,CsDischargeTime,CsEnergy
9,2025-05-29 21:14:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:11:51,256,34941,347,45030,35294,-1,-1,-1,-1,-1,-1,-1,-1
10,2025-05-29 21:14:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:13:30,257,34918,347,45030,35272,-1,-1,-1,-1,-1,-1,-1,-1
11,2025-05-29 21:20:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:16:32,256,34918,347,45030,35272,-1,-1,-1,-1,-1,-1,-1,-1
12,2025-05-29 21:20:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:19:49,257,35522,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
13,2025-05-29 21:22:55,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:22:55,769,35522,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
27,2025-05-30 18:53:57,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:22:07,256,17305,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
28,2025-05-30 18:53:57,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:53:19,257,27713,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
29,2025-05-30 18:55:34,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:53:20,769,27713,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
30,2025-05-30 18:55:34,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:55:21,771,28329,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
31,2025-05-30 18:55:34,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:55:33,1027,28375,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
32,2025-05-30 18:58:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:55:39,1028,28352,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
33,2025-05-30 18:58:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:57:33,1028,28238,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
34,2025-05-30 19:03:42,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:03:42,1028,28090,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
35,2025-05-30 19:05:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:03:42,772,28090,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
36,2025-05-30 19:05:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:04:31,771,28306,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
37,2025-05-30 19:11:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:04:40,259,28306,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
38,2025-05-30 19:11:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:10:09,257,29663,348,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
14,2025-05-30 19:13:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-29 21:23:00,1027,35522,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
15,2025-05-30 19:13:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:12:16,1028,16154,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
16,2025-05-30 19:19:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:18:09,1028,16063,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
17,2025-05-30 19:19:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 19:18:11,516,16063,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
18,2025-05-30 19:19:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:19:01,258,15869,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
25,2025-05-30 19:19:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:20:01,257,15892,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
26,2025-05-30 19:19:00,,,,UnknownOrUserSid,,,2,1,False,-7135144980635599035,2025-05-30 18:21:31,257,17077,347,45030,35522,-1,-1,-1,-1,-1,-1,-1,-1
