Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
3,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-29 21:18:08,19985273102270464,IF_TYPE_IEEE80211,0,0,
4,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,56,2025-05-29 21:18:08,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
5,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-29 21:19:08,19985273102270464,IF_TYPE_IEEE80211,0,0,
6,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,33,2025-05-29 21:19:08,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
7,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,48,2025-05-29 21:20:31,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
8,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-29 21:21:20,19985273102270464,IF_TYPE_IEEE80211,0,0,
9,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,26,2025-05-29 21:21:20,19985273102270464,IF_TYPE_IEEE80211,0,268435458,
10,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-29 21:21:48,19985273102270464,IF_TYPE_IEEE80211,0,0,
11,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,246,2025-05-29 21:21:48,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
12,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-30 19:18:17,19985273102270464,IF_TYPE_IEEE80211,0,0,
13,2025-05-30 18:20:00,,,,UnknownOrUserSid,,,2,1,2133433830,2025-05-30 19:18:18,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
17,2025-05-30 18:21:00,,,,UnknownOrUserSid,,,2,1,2133433948,2025-05-30 19:18:18,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
19,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-30 18:22:48,19985273102270464,IF_TYPE_IEEE80211,0,0,
20,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,2097,2025-05-30 18:22:48,19985273102270464,IF_TYPE_IEEE80211,0,268435457,
21,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-30 19:05:24,19985273102270464,IF_TYPE_IEEE80211,0,0,
22,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,28,2025-05-30 19:05:24,19985273102270464,IF_TYPE_IEEE80211,0,268435459,
23,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,0,2025-05-30 19:06:02,19985273102270464,IF_TYPE_IEEE80211,0,0,
24,2025-05-30 19:10:00,,,,UnknownOrUserSid,,,2,1,237,2025-05-30 19:06:02,19985273102270464,IF_TYPE_IEEE80211,0,268435459,
