Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
19,2025-05-30 18:20:00,1285,153,U,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-29 21:17:00,2025-05-30 18:19:01,0,21:02:01.8214164
20,2025-05-30 18:20:00,1285,155,C101,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-29 21:17:00,2025-05-30 18:19:01,0,21:02:01.8214164
21,2025-05-30 18:20:00,1285,156,C125,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-29 21:17:00,2025-05-29 21:18:00,0,00:00:59.9907609
22,2025-05-30 18:20:00,1285,157,C127,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-29 21:17:00,2025-05-29 21:18:00,0,00:00:59.9907609
25,2025-05-30 18:21:00,1285,153,U,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:19:01,2025-05-30 18:21:00,0,00:01:58.1754562
26,2025-05-30 18:21:00,1285,155,C101,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:20:01,2025-05-30 18:21:00,0,00:00:58.7879022
27,2025-05-30 19:10:00,1602,1815,C103,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:53:19,2025-05-30 19:05:00,0,00:11:40.1052572
28,2025-05-30 19:10:00,1602,1816,C105,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:36:00,2025-05-30 18:50:00,0,00:14:00.0037562
29,2025-05-30 19:10:00,1602,1817,C129,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:36:00,2025-05-30 18:50:00,0,00:14:00.0037562
30,2025-05-30 19:10:00,1602,1818,C102,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:36:00,2025-05-30 18:50:00,0,00:14:00.0037562
31,2025-05-30 19:10:00,1602,1819,C115,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:36:00,2025-05-30 18:50:00,0,00:14:00.0037562
32,2025-05-30 19:10:00,1602,1820,C114,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:36:00,2025-05-30 18:50:00,0,00:14:00.0037562
33,2025-05-30 19:10:00,1602,1821,C112,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:30:00,2025-05-30 18:37:00,0,00:06:59.9850923
34,2025-05-30 19:10:00,1602,1822,C113,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:30:00,2025-05-30 18:31:00,0,00:00:59.9899226
35,2025-05-30 19:10:00,1285,153,U,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:21:00,2025-05-30 18:23:00,0,00:02:00.0015688
36,2025-05-30 19:10:00,1602,155,C101,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:27:00,2025-05-30 19:10:00,0,00:42:59.9998812
37,2025-05-30 19:10:00,1285,155,C101,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:21:00,2025-05-30 18:25:00,0,00:04:00.0088245
38,2025-05-30 19:10:00,1602,153,U,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:27:00,2025-05-30 19:10:00,0,00:42:59.9998812
39,2025-05-30 19:10:00,1285,156,C125,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:21:00,2025-05-30 18:23:00,0,00:02:00.0015688
40,2025-05-30 19:10:00,1602,157,C127,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:27:00,2025-05-30 18:50:00,0,00:22:59.9960002
41,2025-05-30 19:10:00,1285,157,C127,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1000,,2025-05-30 18:21:00,2025-05-30 18:23:00,0,00:02:00.0015688
42,2025-05-30 19:10:00,1602,156,C125,,,UnknownOrUserSid,S-1-5-21-3742442691-1288352992-3554343984-1001,,2025-05-30 18:27:00,2025-05-30 18:50:00,0,00:22:59.9960002
