RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2023-03-01 07:14:25.0242267,40961,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,2008,3600,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
2,2,2023-03-01 07:14:25.3673133,53504,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,2008,2656,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""2008""},{""@Name"":""param2"",""#text"":""DefaultAppDomain""}]}}"
3,3,2023-03-01 07:14:25.7502823,40962,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,2008,3600,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
4,4,2023-03-01 07:14:26.9162195,40961,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1936,6156,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
5,5,2023-03-01 07:14:27.0242667,53504,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1936,7324,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""1936""},{""@Name"":""param2"",""#text"":""DefaultAppDomain""}]}}"
6,6,2023-03-01 07:14:27.2229310,40962,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1936,6156,DESKTOP-887GK2L,0,S-1-5-18,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
7,7,2023-03-01 07:29:19.1961605,40961,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1660,3500,DESKTOP-887GK2L,0,S-1-5-21-3393683511-3463148672-371912004-1001,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
8,8,2023-03-01 07:29:19.4116930,53504,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1660,8792,DESKTOP-887GK2L,0,S-1-5-21-3393683511-3463148672-371912004-1001,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""1660""},{""@Name"":""param2"",""#text"":""DefaultAppDomain""}]}}"
9,9,2023-03-01 07:29:19.6423125,40962,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1660,3500,DESKTOP-887GK2L,0,S-1-5-21-3393683511-3463148672-371912004-1001,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
10,10,2023-03-01 07:29:20.5869433,40961,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1648,8388,DESKTOP-887GK2L,0,S-1-5-21-3393683511-3463148672-371912004-1001,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":""""}"
11,11,2023-03-01 07:29:20.6778517,53504,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,1648,6344,DESKTOP-887GK2L,0,S-1-5-21-3393683511-3463148672-371912004-1001,,,,,,,,,,,False,C:\Users\user\Desktop\Pentest\Sherlocks\Easy\logjammer\Event-Logs\Powershell-Operational.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""1648""},{""@Name"":""param2"",""#text"":""DefaultAppDomain""}]}}"
