CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-07-16 09:14:22.5939518,C:\Windows\prefetch\AM_BASE.EXE-3F70DC95.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\AM_BASE.EXE-3F70DC95.pf,2012,B67042DF9BCB5D4F40EBA78C0BF9103845E12AC7,False,2024-07-16 09:02:05.3593883,2024-07-16 09:02:05.3593883,2024-07-16 09:02:05.3593883,00:00:00.0343863
2024-07-16 09:14:22.7128170,C:\Windows\prefetch\AM_DELTA.EXE-78CA83B0.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\AM_DELTA.EXE-78CA83B0.pf,2007,E2CEF0D1F01348F6BE3E444E14083941D6807DFD,False,2024-07-16 09:02:14.6715440,2024-07-16 09:02:14.6715440,2024-07-16 09:02:14.6715440,00:00:00.0311815
2024-07-16 09:14:22.7519322,C:\Windows\prefetch\AM_ENGINE.EXE-F1C956E4.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\AM_ENGINE.EXE-F1C956E4.pf,2334,221DF3B84B6172488B6FEDD2F368A5862E5FA121,False,2024-07-16 09:01:58.9213037,2024-07-16 09:01:58.9213037,2024-07-16 09:01:58.9213037,00:00:00.0258574
2024-07-16 09:14:22.7920427,C:\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf,14527,DA9AE2947AEF667FB8986ADAFA1AFB916C894960,False,2024-07-16 05:34:22.1577696,2024-07-16 09:02:46.8437204,2024-07-16 09:02:46.8437204,00:00:00.0299107
2024-07-16 09:14:22.8318661,C:\Windows\prefetch\AUDIODG.EXE-AB22E9A6.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\AUDIODG.EXE-AB22E9A6.pf,5905,E33D6B3630C7D9DB2968364C7CDA4DCC77851547,False,2024-07-16 05:32:28.4545505,2024-07-16 09:03:10.4060017,2024-07-16 09:03:10.4060017,00:00:00.0269940
2024-07-16 09:14:22.8709928,C:\Windows\prefetch\BACKGROUNDTASKHOST.EXE-05A8BF9D.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\BACKGROUNDTASKHOST.EXE-05A8BF9D.pf,11345,3FF134655998817D2DF57769F6B584EBE1C30774,False,2024-07-16 09:02:20.7307594,2024-07-16 09:02:20.9374836,2024-07-16 09:02:20.9374836,00:00:00.0270732
2024-07-16 09:14:22.9178098,C:\Windows\prefetch\BACKGROUNDTASKHOST.EXE-09FABB87.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\BACKGROUNDTASKHOST.EXE-09FABB87.pf,9193,5D473EA9240D1640A1A6A722B622836DE153BDB7,False,2024-07-16 05:27:30.9358049,2024-07-16 05:27:30.9358049,2024-07-16 05:48:53.2604881,00:00:00.0270515
2024-07-16 09:14:22.9579441,C:\Windows\prefetch\CONHOST.EXE-0C6456FB.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\CONHOST.EXE-0C6456FB.pf,5484,8BF6286897DF7AF8C5B80EC500CD23C55ED4CD01,False,2024-07-16 05:48:53.4453824,2024-07-16 09:11:34.4282616,2024-07-16 09:11:34.4282616,00:00:00.0267486
2024-07-16 09:14:22.9999851,C:\Windows\prefetch\CONSENT.EXE-40419367.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\CONSENT.EXE-40419367.pf,77421,D32A37834F50B86BEF322633B60AC7E5F8E077E8,False,2024-07-16 05:28:03.8036998,2024-07-16 09:11:25.5111300,2024-07-16 09:11:25.5111300,00:00:00.0296908
2024-07-16 09:14:23.0399111,C:\Windows\prefetch\CPTHOST.EXE-A4488D21.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\CPTHOST.EXE-A4488D21.pf,25511,3A6C9588C1F3C6A4EE203145452974378E9462DF,False,2024-07-16 09:03:08.1546013,2024-07-16 09:03:08.1546013,2024-07-16 09:03:08.1546013,00:00:00.0275091
2024-07-16 09:14:23.0799478,C:\Windows\prefetch\CSRSS.EXE-F3C368CB.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\CSRSS.EXE-F3C368CB.pf,4472,CBC66F29B068DBFC1E8E78B0EAA04330DB99102D,False,2024-07-16 05:26:24.7985276,2024-07-16 05:26:24.7985276,2024-07-16 05:48:53.2604881,00:00:00.0277586
2024-07-16 09:14:23.1190246,C:\Windows\prefetch\DEFRAG.EXE-3D9E8D72.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DEFRAG.EXE-3D9E8D72.pf,3967,8353FEF01A11893E269BF0C17CA2D436780849B4,False,2024-07-16 05:48:53.4453824,2024-07-16 05:48:53.4453824,2024-07-16 05:48:53.4453824,00:00:00.0250017
2024-07-16 09:14:23.1668022,C:\Windows\prefetch\DLLHOST.EXE-15CDDA9C.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-15CDDA9C.pf,9450,10260260D051C2A38C65F1E8673A4423FA242AEC,False,2024-07-16 05:31:22.3770630,2024-07-16 09:01:48.1248826,2024-07-16 09:01:48.1248826,00:00:00.0328122
2024-07-16 09:14:23.2091272,C:\Windows\prefetch\DLLHOST.EXE-3D723117.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-3D723117.pf,5066,19A80A47ADB586769B22F1EBDB00B59A937B22CE,False,2024-07-16 05:24:41.9706600,2024-07-16 09:01:48.5151364,2024-07-16 09:01:48.5151364,00:00:00.0259322
2024-07-16 09:14:23.2481073,C:\Windows\prefetch\DLLHOST.EXE-4B6CB38A.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-4B6CB38A.pf,4176,262CDC59675C62BD8A77CCA24D61D99401C1630E,False,2024-07-16 05:23:38.2049164,2024-07-16 05:32:00.1158955,2024-07-16 05:48:53.2604881,00:00:00.0280627
2024-07-16 09:14:23.2902894,C:\Windows\prefetch\DLLHOST.EXE-4F1B3E7E.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-4F1B3E7E.pf,6097,20DE323593EAE0D38863D955B4A499C8AD0B5738,False,2024-07-16 09:11:56.7046772,2024-07-16 09:11:56.7046772,2024-07-16 09:11:56.7046772,00:00:00.0275171
2024-07-16 09:14:23.3436348,C:\Windows\prefetch\DLLHOST.EXE-6389524F.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-6389524F.pf,4605,90E104BD88A371570F8A0704AE6E2E5BE01FD929,False,2024-07-16 05:26:08.4078640,2024-07-16 05:26:08.4078640,2024-07-16 05:48:53.2604881,00:00:00.0336609
2024-07-16 09:14:23.3829540,C:\Windows\prefetch\DLLHOST.EXE-A010D183.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-A010D183.pf,3946,262F51E510E9798117D888D895D600248D629ADB,False,2024-07-16 05:28:13.2726497,2024-07-16 05:28:13.2726497,2024-07-16 05:48:53.2604881,00:00:00.0248319
2024-07-16 09:14:23.4217515,C:\Windows\prefetch\DLLHOST.EXE-C60C3853.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-C60C3853.pf,4400,4F71294CE1866D805A6149308D2121CDC6C1DCCB,False,2024-07-16 05:23:19.5955217,2024-07-16 05:23:19.5955217,2024-07-16 05:48:53.2604881,00:00:00.0258653
2024-07-16 09:14:23.4606922,C:\Windows\prefetch\DLLHOST.EXE-D58D3344.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-D58D3344.pf,7489,56280E29AA78A63C6DC55237F456D6A8D35BDD8A,False,2024-07-16 05:34:28.8923818,2024-07-16 05:34:28.8923818,2024-07-16 05:48:53.2761377,00:00:00.0267480
2024-07-16 09:14:23.4975523,C:\Windows\prefetch\DLLHOST.EXE-E9BDD97B.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DLLHOST.EXE-E9BDD97B.pf,4017,D79145D4AFC160241DEAF4D091E46636B3D0B980,False,2024-07-16 05:31:17.4452869,2024-07-16 09:01:43.1088965,2024-07-16 09:01:43.1088965,00:00:00.0266787
2024-07-16 09:14:23.5396417,C:\Windows\prefetch\DRVINST.EXE-39D9EAC7.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DRVINST.EXE-39D9EAC7.pf,12546,FAE29F2C10477B9DFFA97185F5D3990C17030D94,False,2024-07-16 05:19:34.1263559,2024-07-16 09:11:00.6765623,2024-07-16 09:11:00.6765623,00:00:00.0269717
2024-07-16 09:14:23.5806799,C:\Windows\prefetch\DSMUSERTASK.EXE-853A6893.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DSMUSERTASK.EXE-853A6893.pf,5589,E8B5489D963ED7B37589B65F978052223D0EEF96,False,2024-07-16 05:23:32.4234505,2024-07-16 05:24:35.7044943,2024-07-16 05:48:53.2761377,00:00:00.0280437
2024-07-16 09:14:23.6209190,C:\Windows\prefetch\DWM.EXE-314E93C5.pf,E:\CrewCrow-FINAL\C\Windows\prefetch\DWM.EXE-314E93C5.pf,15641,C6C845FC5E6534AC5C7D12AF48282C1F2B85E01F,False,2024-07-16 05:26:24.8920173,2024-07-16 05:26:24.8920173,2024-07-16 05:48:53.2761377,00:00:00.0269891
