Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x850ccaaaf080	125	-	N/A	False	2024-07-23 02:27:49.000000 UTC	N/A	-	-	-
* 360	4	smss.exe	0x850ccb480040	2	-	N/A	False	2024-07-23 02:27:49.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 92	4	Registry	0x850ccab68040	4	-	N/A	False	2024-07-23 02:27:46.000000 UTC	N/A	Registry	-	-
* 1440	4	MemCompression	0x850ccfcd7040	26	-	N/A	False	2024-07-23 02:27:59.000000 UTC	N/A	MemCompression	-	-
468	460	csrss.exe	0x850ccb3cb140	11	-	0	False	2024-07-23 02:27:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
540	460	wininit.exe	0x850ccf61b080	1	-	0	False	2024-07-23 02:27:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 692	540	lsass.exe	0x850ccf689080	8	-	0	False	2024-07-23 02:27:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\lsass.exe	C:\Windows\system32\lsass.exe	C:\Windows\system32\lsass.exe
* 668	540	services.exe	0x850ccf65b080	5	-	0	False	2024-07-23 02:27:58.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 896	668	svchost.exe	0x850ccf7c32c0	15	-	0	False	2024-07-23 02:27:59.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p	C:\Windows\system32\svchost.exe
** 2188	668	svchost.exe	0x850ccff8d080	13	-	0	False	2024-07-23 02:28:00.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs	C:\Windows\System32\svchost.exe
** 8844	668	svchost.exe	0x850cd23460c0	6	-	0	False	2024-07-23 02:29:31.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p	C:\Windows\system32\svchost.exe
