SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Proposal NG Garna corp.lnk,2024-02-20 4:25,2024-02-20 4:25,2024-02-20 4:25,2024-02-15 4:15,2024-02-05 4:50,2024-02-20 4:25,6617,..\..\..\..\..\Documents\Business Proposals\Proposal NG Garna corp.docx,C:\Users\MrManj\Documents\Business Proposals,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\Business Proposals\Proposal NG Garna corp.docx,,,,This PC\Documents\Business Proposals\Proposal NG Garna corp.docx,0x19FA2,0x2,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-20 4:16,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\External Finance.lnk,2024-02-21 9:21,2024-02-22 11:57,2024-02-22 11:57,2024-02-15 4:15,2024-02-22 11:57,2024-02-22 11:57,4096,..\..\..\..\..\Documents\External Finance,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\External Finance,,,,This PC\Documents\External Finance,0x19FA3,0x2,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-15 4:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Current Clients.lnk,2024-02-21 9:21,2024-02-22 11:57,2024-02-22 11:57,2024-02-15 4:15,2024-02-22 11:57,2024-02-22 11:57,55593,..\..\..\..\..\Documents\External Finance\Current Clients.xlsx,C:\Users\MrManj\Documents\External Finance,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\External Finance\Current Clients.xlsx,,,,This PC\Documents\External Finance\Current Clients.xlsx,0x1E2F7,0x4,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-21 4:19,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Internal Finance.lnk,2024-02-19 4:06,2024-02-19 11:44,2024-02-19 11:44,2024-02-15 4:15,2024-02-19 11:44,2024-02-19 11:44,4096,..\..\..\..\..\Documents\Internal Finance,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\Internal Finance,,,,This PC\Documents\Internal Finance,0x1A381,0x4,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-15 4:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Internal Accounts.lnk,2024-02-19 4:06,2024-02-19 11:44,2024-02-19 11:44,2024-02-15 4:15,2024-02-19 11:44,2024-02-19 11:44,25952,..\..\..\..\..\Documents\Internal Finance\Internal Accounts.xlsx,C:\Users\MrManj\Documents\Internal Finance,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\Internal Finance\Internal Accounts.xlsx,,,,This PC\Documents\Internal Finance\Internal Accounts.xlsx,0x1E26F,0x9,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-19 4:04,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Proposal Lg-Arc Inc.lnk,2024-02-22 4:12,2024-02-22 5:57,2024-02-22 5:57,2024-02-15 4:15,2024-02-22 5:57,2024-02-22 5:57,6950,..\..\..\..\..\Documents\Business Proposals\Proposal Lg-Arc Inc.docx,C:\Users\MrManj\Documents\Business Proposals,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),A80F4B22,,C:\Users\MrManj\Documents\Business Proposals\Proposal Lg-Arc Inc.docx,,,,This PC\Documents\Business Proposals\Proposal Lg-Arc Inc.docx,0x1E2EC,0x4,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-22 4:11,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Business Proposals.lnk,2024-02-19 8:22,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",5EC68DAA,RVT-9J,E:\Documents\Business Proposals,,,,E:\Work Documents\Business Proposals,0x29,0x1,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-23 4:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Proposal Brnrdr ltd.lnk,2024-02-19 8:22,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-05 4:47,2024-02-23 11:38,6620,,E:\Documents\Business Proposals,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",5EC68DAA,RVT-9J,E:\Documents\Business Proposals\Proposal Brnrdr ltd.docx,,,,E:\Work Documents\Business Proposals\Proposal Brnrdr ltd.docx,0x2A,0x1,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-23 4:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Important docs.lnk,2024-02-20 4:25,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",5EC68DAA,RVT-9J,E:\Documents\Important docs,,,,E:\Work Documents\Important docs,0x2F,0x1,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-23 4:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\26-02-2024.ad1_Custom Content Image([Multi]) [AD1]\C___NONAME [NTFS]\[root]\Users\MrManj\AppData\Roaming\Microsoft\Windows\Recent\Business Leads.lnk,2024-02-20 4:25,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 11:38,2024-02-23 10:54,2024-02-23 11:38,55588,,E:\Documents\Important docs,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",5EC68DAA,RVT-9J,E:\Documents\Important docs\Business Leads.xlsx,,,,E:\Work Documents\Important docs\Business Leads.xlsx,0x30,0x1,desktop-3qp5jf3,00:0c:29:82:41:c9,VMWARE,2024-02-23 4:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
